Facility Name,Facility Type,Inmate Sex,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
FPC Alderson,Federal,female,West Virginia,ALDERSON,24910,"GLEN RAY RD. BOX A ALDERSON, WV 24910","GLEN RAY RD. BOX A ALDERSON, WV 24910",304-445-3300,https://www.bop.gov/locations/institutions/ald/,https://www.bop.gov/policy/progstat/5266_011.pdf,,Minimum,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FCI Aliceville",Federal,female,Alabama,ALICEVILLE,35442,"11070 HIGHWAY 14
ALICEVILLE, AL   35442","P.O.BOX 4000
ALICEVILLE, AL   35442",	205-373-5000,https://www.bop.gov/locations/institutions/ali/,https://www.bop.gov/policy/progstat/5266_011.pdf,,Low,"1,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FCI Aliceville Satellite Camp",Federal,female,Alabama,ALICEVILLE,35442,"""11070 HIGHWAY 14
ALICEVILLE, AL   35442""","P.O. BOX 487
ALICEVILLE, AL   35442","""	205-373-5000""",https://www.bop.gov/locations/institutions/ali/,https://www.bop.gov/policy/progstat/5266_011.pdf,,Minimum,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FCI Allenwood Low",Federal,male,Pennsylvania,ALLENWOOD,17810,"RT 15,2 MILES N OF ALLENWOOD
ALLENWOOD, PA   17810","P.O. BOX 1000
WHITE DEER, PA   17887",570-547-1990,https://www.bop.gov/locations/institutions/alf/,https://www.bop.gov/policy/progstat/5266_011.pdf,,Low,"1,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FCI Allenwood Medium",Federal,male,Pennsylvania,WHITE DEER,17810,"RT 15, 2 MI N OF ALLENWOOD
WHITE DEER, PA   17810","P.O. BOX 2000
WHITE DEER, PA   17887",570-547-7950,https://www.bop.gov/locations/institutions/alm/,https://www.bop.gov/policy/progstat/5266_011.pdf,,Medium,"1,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USP Allenwood",Federal,male,Pennsylvania,ALLENWOOD,17810,"RT 15,2 MILES N OF ALLENWOOD
ALLENWOOD, PA   17810","P.O. BOX 3000
WHITE DEER, PA   17887",	570-547-0963,https://www.bop.gov/locations/institutions/alp/,https://www.bop.gov/policy/progstat/5266_011.pdf,,High,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FCI Ashland",Federal,male,Kentucky,ASHLAND,41105,"ST. ROUTE 716
ASHLAND, KY   41105","P.O. BOX 6001
ASHLAND, KY   41105",606-928-6414,https://www.bop.gov/locations/institutions/ash/,https://www.bop.gov/policy/progstat/5266_011.pdf,,Low,"1,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FCI Ashland Satellite Camp",Federal,male,Kentucky,ASHLAND,41105,"""ST. ROUTE 716
ASHLAND, KY   41105""","P.O. BOX 6001
ASHLAND, KY   41105",606-928-6414,https://www.bop.gov/locations/institutions/ash/,https://www.bop.gov/policy/progstat/5266_011.pdf,,Minimum,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FCI Atlanta",Federal,male,Georgia,ATLANTA,30315,"601 MCDONOUGH BLVD SE
ATLANTA, GA   30315","P.O. BOX 150160
ATLANTA, GA   30315",404-635-5100,https://www.bop.gov/locations/institutions/atl/,https://www.bop.gov/policy/progstat/5266_011.pdf,,Low,"1,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USP Atwater",Federal,male,California,ATWATER,95301,"1 FEDERAL WAY
ATWATER, CA   95301","P.O. BOX 019001
ATWATER, CA   95301",209-386-0257,https://www.bop.gov/locations/institutions/atw/,https://www.bop.gov/policy/progstat/5266_011.pdf,,High,"1,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
