Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Bibb Correctional Facility,State,Alabama,Brent,35034,"565 Bibb Lane
Brent, AL 35034","565 Bibb Lane
Brent, AL 35034",205-926-5252,https://doc.alabama.gov/facility.aspx?loc=39,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock Correctional Facility,State,Alabama,"Union Springs,",36089,"Highway 82 East
Union Springs, AL 36089","P.O. Box 5107
Union Springs, AL 36089-5107",(334)-738-5625,https://doc.alabama.gov/facility.aspx?loc=4,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donaldson Correctional Facility,State,Alabama,Bessemer,35023-7299,"100 Warrior Lane
Bessemer, AL 35029-7299","100 Warrior Lane
Bessemer, AL 35023-7299",(205)-436-3681,https://doc.alabama.gov/facility.aspx?loc=2,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easterling Correctional Facility,State,Alabama,Clio,36017-2615,"200 Wallace Drive
Clio, AL 36017-2615","200 Wallace Drive
Clio, AL 36017-2615",(334)-397-4471,https://doc.alabama.gov/facility.aspx?loc=13,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmore Correctional Facility,State,Alabama,Elmore,36025,"3520 Marion Spillway Rd
Elmore, AL 36025","3520 Marion Spillway Rd
Elmore, AL 36025",(334)-567-1460,https://doc.alabama.gov/facility.aspx?loc=31,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fountain Correctional Facility,State,Alabama,Atmore,36503,"Fountain 3800
Atmore, AL 36503-3800","9677 Hwy 21 N
Atmore, AL 36503",(251) 368-8122,https://doc.alabama.gov/facility.aspx?loc=17,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton Aged and Infirmed Center,State,Alabama,Hamilton,35570,"223 Sasser Drive
Hamilton, AL 35570","223 Sasser Drive
Hamilton, AL 35570",(205)-921-7453,https://doc.alabama.gov/facility.aspx?loc=30,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William C. Holman Correctional Facility,State,Alabama,Atmore,36503,"866 Ross Road
Atmore, AL 36503","Holman 3700
Atmore, AL 36503",(251)-368-8173,https://doc.alabama.gov/facility.aspx?loc=33,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilby Correctional Facility,State,Alabama,Montgomery,36117,"12201 Wares Ferry Road
Montgomery, AL 36117","P.O. Box 150
Mt. Meigs, AL 36057",(334) 215-6600,https://doc.alabama.gov/facility.aspx?loc=36,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limestone Correctional Facility,State,Alabama,Harvest,35749,"28779 Nick Davis Rd
Harvest, AL 35749","28779 Nick Davis Rd
Harvest, AL 35749",(256)-233-4600,https://doc.alabama.gov/facility.aspx?loc=10,https://doc.alabama.gov/docs/ICMail-Family.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
