Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
ASPC Douglas Unit,State,Arizona ,Douglas,85607,"6911 N. BDI Rlvd.
Douglas, AZ 85607","P.O. Drawer 3867
Douglas, AZ 85608",520-364-7521,https://corrections.az.gov/douglas,    https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence West Correctional,State,Arizona ,Florence,85132,"915 E. Diversion Dam Rd
Florence, AZ 85132","P.O. Box 1599
Florence, AZ 85132",520-868-4251,https://corrections.az.gov/florence-west,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State Prison Complex Kingman,State,Arizona ,Golden Valley,86413,"4626 W. English Dr.
Golden Valley, AZ 86413","ASP-Kingman Cerbat Unit
P.O. Box 3009
Kingman, AZ 86402

ASP-Kingman Huachuca Unit
P.O. Box 6639
Kingman, AZ 86402",928-565-2460,https://corrections.az.gov/kingman,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State Prison Complex Lewis,State,Arizona ,Buckeye,85326,"26700 S. Highway 85
Buckeye, AZ 85326","P.O. Box 70
Buckeye, AZ 85326
",623-386-6160,https://corrections.az.gov/lewis,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Palma,State,Arizona ,Eloy,85131,"5501 N. La Palma Rd
Eloy, AZ 85131","5501 N. La Palma Rd
Eloy, AZ 85131",520-464-3200,https://www.corecivic.com/facilities/la-palma-correctional-center,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perryville Arizona State Prison Complex,State,Arizona ,Goodyear,85395,"2105 N. Citrus Rd
Goodyear, AZ 85395","P.O. Box 3000
Goodyear, AZ 85338",623-853-0304,https://corrections.az.gov/perryville,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State Prison Complex Safford,State,Arizona ,Safford,85546,"896 S. Cook Rd
Safford, AZ 85546","P.O. Box 2799
Globe, AZ 85502
",623-853-0304,https://corrections.az.gov/safford,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) CATALINA UNIT ,State,Arizona ,Tucson,85734,"P.O. Box 24400 or 24401
Tucson, AZ 85734","P.O. Box 24400 or 24401
Tucson, AZ 85734",(520) 574-0024,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) COMPLEX DETENTION UNIT(CDU),State,Arizona ,Tucson,85734,"P.O. Box 24400 or 24401
Tucson, AZ 85734","P.O. Box 24400 or 24401
Tucson, AZ 85734",(520) 574-0024,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) CIMARRON UNIT,State,Arizona ,Tucson,85734,"P.O. Box 24400 or 24401
Tucson, AZ 85734","P.O. Box 24400 or 24401
Tucson, AZ 85734",(520) 574-0024,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) MANZANITA UNIT,State,Arizona ,Tucson,85734,"P.O. Box 24400 or 24401
Tucson, AZ 85734","P.O. Box 24400 or 24401
Tucson, AZ 85734",(520) 574-0024,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) RINCON UNIT,State,Arizona ,Tucson,85734,"P.O. Box 24400 or 24401
Tucson, AZ 85734","P.O. Box 24400 or 24401
Tucson, AZ 85734",(520) 574-0024,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) SANTA RITA UNIT,State,Arizona ,Tucson,85734,"P.O. Box 24400 or 24401
Tucson, AZ 85734","P.O. Box 24401
Tucson, AZ 85734",(520) 574-0024,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) WHETSTONE UNIT,State,Arizona ,Tucson,85734,"P.O. Box 24400 or 24401
Tucson, AZ 85734","P.O. Box 24400 or 24401
Tucson, AZ 85734",(520) 574-0024,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) WINCHESTER UNIT,State,Arizona ,Tucson,85734,"P.O. Box 24400 or 24401
Tucson, AZ 85734","P.O. Box 24401
Tucson, AZ 85734",(520) 574-0024,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) APACHE UNIT,State,Arizona ,St. Johns,85936,"P.O. Box 3240
St. Johns, AZ 85936","P.O. Box 3240
St. Johns, AZ 85936",(928) 337-4845,https://corrections.az.gov/apache-unit,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) CORONADO UNIT,State,Arizona ,Winslow,86047,"2100 S. Highway 87
Winslow, AZ 86047","2100 S. Highway 87
Winslow, AZ 86047",(928) 289-9551,https://corrections.az.gov/winslow,https://corrections.az.gov/winslow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) KAIBAB DETENTION UNIT (CDU),State,Arizona ,"Winslow,",86047,"2100 S. Highway 87
Winslow, AZ 86047","2100 S. Highway 87
Winslow, AZ 86047",,https://corrections.az.gov/kaibab-unit,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) Cheyenne Unit,State,Arizona ,San Luis,85349,"P.O. Box 8909
San Luis, AZ 85349","P.O. Box 8909
San Luis, AZ 85349",(928) 627-8871,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) Cibola Unit,State,Arizona ,San Luis,85349,"P.O. Box 8909
San Luis, AZ 85349","P.O. Box 8909
San Luis, AZ 85349",(928) 627-8871,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) Dakota Unit,State,Arizona ,San Luis,85349,"P.O. Box 8909
San Luis, AZ 85349","P.O. Box 8909
San Luis, AZ 85349",(928) 627-8871,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(ASPC) La Paz Unit,State,Arizona ,San Luis,85349,"P.O. Box 8909
San Luis, AZ 85349","P.O. Box 8909
San Luis, AZ 85349",(928) 627-8871,https://corrections.az.gov/inmate-mail/prison-mailing-addresses,https://corrections.az.gov/inmate-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
