Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
"Avenal State Prison A
",State,California ,Avenal,93204,"Avenal State Prison
1 Kings Way
Avenal, CA 93204","(ASP) Facility A
P.O. Box 901
Avenal, CA 93204",(559) 386-0587,https://www.cdcr.ca.gov/facility-locator/asp/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenal State Prison B,State,California ,Avenal,93204,"Avenal State Prison
1 Kings Way
Avenal, CA 93204","(ASP) Facility B
P.O. Box 902
Avenal, CA 93204",(559) 386-0587,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenal State Prison C,State,California ,Avenal,93204,"Avenal State Prison
1 Kings Way
Avenal, CA 93204","(ASP) Facility C
P.O. Box 903
Avenal, CA 93204",(559) 386-0587,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenal State Prison D,State,California ,Avenal,93204,"Avenal State Prison
1 Kings Way
Avenal, CA 93204","(ASP) Facility D
P.O. Box 904
Avenal, CA 93204",(559) 386-0587,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenal State Prison E,State,California ,Avenal,93204,"Avenal State Prison
1 Kings Way
Avenal, CA 93204","(ASP) Facility E
P.O. Box 905
Avenal, CA 93204",(559) 386-0587,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenal State Prison F,State,California ,Avenal,93204,"Avenal State Prison
1 Kings Way
Avenal, CA 93204","(ASP) Facility F
P.O. Box 906
Avenal, CA 93204",(559) 386-0587,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Correctional Institution (CCI,State,California ,Tehachapi,93561,"California Correctional Institution (CCI)
24900 Highway 202
Tehachapi, CA 93561","(CCI) Facility A
P.O. Box 1902
Tehachapi, CA 93581",661-822-4402,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Correctional Institution (CCI,State,California ,Tehachapi,93561,"California Correctional Institution (CCI)
24900 Highway 202
Tehachapi, CA 93561","(CCI) Facility B
P.O. Box 1906
Tehachapi, CA 93581",661-822-4402,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Correctional Institution (CCI,State,California ,Tehachapi,93561,"California Correctional Institution (CCI)
24900 Highway 202
Tehachapi, CA 93561","(CCI) Facility C
P.O. Box 1905
Tehachapi, CA 93581",661-822-4402,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Institution for Men,State,California ,Chino,91710,"California Institution for Men
14901 Central Avenue
Chino, CA 91710","(CIM) Facility A (West)
P.O. Box 368
Chino, CA 91708",909-597-1821,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Institution for Men,State,California ,Chino,91710,"California Institution for Men
14901 Central Avenue
Chino, CA 91710","(CIM) Facility B (Reception Center Central)
P.O. Box 441
Chino, CA 91708",909-597-1821,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Institution for Men,State,California ,Chino,91710,"California Institution for Men
14901 Central Avenue
Chino, CA 91710","(CIM) Facility C (EAST)
P.O. Box 500
Chino, CA 91708",909-597-1821,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Institution for Men,State,California ,Chino,91710,"California Institution for Men
14901 Central Avenue
Chino, CA 91710","(CIM) Facility D
P.O. Box 600
Chino, CA 91708",909-597-1821,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Institution for Women,State,California ,Corona,92880,"California Institution for Women
16756 Chino-Corona Road
Corona, CA 92880","California Institution for Women
16756 Chino-Corona Road
Corona, CA 92880",909-597-1772,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Medical Facility,State,California ,Vacaville,95687,"California Medical Facility
1600 California Dr
Vacaville, CA 95687","California Medical Facility
P.O. Box 2000
Vacaville, CA 95696-2000",707-448-6841,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Medical Facility,State,California ,Vacaville,95696-2500,"California Medical Facility
1600 California Dr
Vacaville, CA 95687","California Medical Facility
P.O. Box 2500
Vacaville, CA 95696-2500",707-448-6841,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Men's Colony,State,California ,San Luis Obispo,93409,"California Men's Colony
Colony Dr
San Luis Obispo, CA 93409","California Men's Colony
P.O. Box 8103
San Luis Obispo, CA 93409-8103",805-547-7900,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Rehabilitation Center,State,California ,Norco,92860,"California Rehabilitation Center
5th Street and Western
Norco, CA 92860","California Rehabilitation Center
P.O. Box 3535
Norco, CA 92860",951-737-2683,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California State Prison, Corcoran",State,California ,Corcoran,93212,"California State Prison, Corcoran
4001 King Avenue
Corcoran, CA 93212","California State Prison Corcoran
P.O. Box 8800
Corcoran, CA 93212-8309",559-992-8800,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California State Prison, Los Angeles County",State,California ,Lancaster,93536-7620,"California State Prison, Los Angeles County
44750 60th Street West
Lancaster, CA 93536-7620","(CSP) Facility A & ASU
P.O. Box 4430
Lancaster, CA 93539-4430",661-729-2000,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California State Prison, Los Angeles County",State,California ,Lancaster,93536-7620,"California State Prison, Los Angeles County
44750 60th Street West
Lancaster, CA 93536-7620","(CSP) Facility B
P.O. Box 4490
Lancaster, CA 93539-4490",661-729-2000,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California State Prison, Los Angeles County",State,California ,Lancaster,93536-7620,"California State Prison, Los Angeles County
44750 60th Street West
Lancaster, CA 93536-7620","(CSP) Facility C
P.O. Box 4610
Lancaster, CA 93539-4610",661-729-2000,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California State Prison, Los Angeles County",State,California ,Lancaster,93536-7620,"California State Prison, Los Angeles County
44750 60th Street West
Lancaster, CA 93536-7620","(CSP) Facility D
P.O. Box 4670
Lancaster, CA 93539-4670",661-729-2000,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California State Prison, Los Angeles County",State,California ,Lancaster,93536-7620,"California State Prison, Los Angeles County
44750 60th Street West
Lancaster, CA 93536-7620","(CSP) Minimum Support Facility
P.O. Box 4730
Lancaster, CA 93539-4730",661-729-2000,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California State Prison Sacramento,State,California ,Represa,18901,"California State Prison Sacramento
100 Prison Road
Represa, CA 18901","California State Prison Sacramento
P.O. Box 290001
Represa, CA 95671",916-985-8610,https://www.cdcr.ca.gov/adult-operations/list-of-adult-institutions/,https://www.cdcr.ca.gov/family-resources/sending-inmate-packages-from-approved-vendors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
