Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Arrowhead Correctional Center,State,Colorado,Cañon City,81212,"Arrowhead Correctional Center
57500 E. US Highway 50 & Evans Blvd
Cañon City, CO 81212","Arrowhead Correctional Center
P.O. Box 300
Cañon City, CO 81215-0300",719-269-5601,https://cdoc.colorado.gov/facilities/canon-city/arrowhead-correctional-center,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Valley Correctional Facility,State,Colorado,Ordway,81034,"Arkansas Valley Correctional Facility
12750 Hwy 96 at Lane 13
Ordway, CO 81034","Arkansas Valley Correctional Facility
12750 Hwy 96 at Lane 13
Ordway, CO 81034",719-267-3520,https://cdoc.colorado.gov/facilities/arkansas-valley-correctional-facility,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buena Vista Correctional Complex,State,Colorado,Buena Vista,81211,"Buena Vista Correctional Complex
15125 Highway 24 & 285
Buena Vista, CO 81211","Buena Vista Correctional Facility
P.O. Box 2017
Buena Vista, CO 81211
",719-395-2404,https://cdoc.colorado.gov/facilities/buena-vista-correctional-complex,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Correctional Facility,State,Colorado,Canyon City,81212,"Centennial Correctional Facility
Highway 50 and Evans Blvd
Canyon City, CO 81212","Centennial Correctional Facility
P.O. Box 600
Canon City, CO 81215-0600",719-269-4810,https://cdoc.colorado.gov/facilities/canon-city/centennial-correctional-facility,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Correctional Facility,State,Colorado,Canon City,81215,"Centennial Correctional Facility
Colorado State Penitentiary
E Us Highway 50 Evans Blvd
Canon City, CO 81215","Colorado State Penitentiary
P.O. Box 777
Canon City, CO 81215-0777",719-269-4810,https://cdoc.colorado.gov/facilities/canon-city/colorado-state-penitentiary,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Territorial Correctional Facility,State,Colorado,Canon City,81215,"Colorado Territorial Correctional Facility
275 West US Highway 50
Canon City, CO 81215","Colorado Territorial Correctional Facility
P.O. Box 1010
Canon City, CO 81215-1010",719-275-4181,https://cdoc.colorado.gov/facilities/canon-city/colorado-territorial-correctional-facility,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Correctional Center,State,Colorado,Delta,81416,"Delta Correctional Center
11363 Lockhart Road
Delta, CO 81416","Delta Correctional Center
11363 Lockhart Road
Delta, CO 81416",970-874-7614,https://cdoc.colorado.gov/facilities/delta-correctional-center,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Reception and Diagnostic Center,State,Colorado,Denver,80239,"Denver Reception Diagnostic Center
10900 Smith Road
Denver, CO 80239","Denver Reception Diagnostic Center
P.O. Box 392004
Denver, CO 80239",303-371-4804,https://cdoc.colorado.gov/facilities/denver-complex/denver-reception-diagnostic-center,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Women's Correctional Facility,State,Colorado,Denver,80239,"Denver Women's Correctional Facility
3600 Havana Street
Denver, CO 80239","Denver Women's Correctional Facility
P.O. Box 392005
Denver, CO 80239",303-307-2500,https://cdoc.colorado.gov/facilities/denver-complex/denver-womens-correctional-facility,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Mile Correctional Center,State,Colorado,Canon City,81212,"Four Mile Correctional Center
E. US Highway 50 and Evans Blvd
Canon City, CO 81212","Four Mile Correctional Center
P.O. Box 300
Canon City, CO 81215-0300",719-269-5601,https://cdoc.colorado.gov/facilities/canon-city/four-mile-correctional-center,https://cdoc.colorado.gov/resources-faq/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
