Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Bridgeport Correctional Center,State,Connecticut,Bridgeport,6604,"Bridgeport Correctional Center
1106 North Avenue
Bridgeport, CT 06604","Bridgeport Correctional Center
1106 North Avenue
Bridgeport, CT 06604",475-225-8000,https://portal.ct.gov/doc/facility/bridgeport-cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Correctional Institution,State,Connecticut,Brooklyn,6234,"Brooklyn Correctional institution
59 Hartford Road
Brooklyn, CT 06234","Brooklyn Correctional institution
59 Hartford Road
Brooklyn, CT 06234",860-779-4500,https://portal.ct.gov/doc/facility/brooklyn-ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire Correctional Institution,State,Connecticut,Cheshire,6410,"Cheshire Correctional Institution
900 Highland Avenue
Cheshire, CT 06410","Cheshire Correctional Institution
900 Highland Avenue
Cheshire, CT 06410",(203) 651-6100,https://portal.ct.gov/doc/facility/cheshire-ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybulski Community Reintegration Center,State,Connecticut,Somers,6071,"Cybulski Community Reintegration Center
264 Bilton Road
Somers, CT 06071","Cybulski Community Reintegration Center
264 Bilton Road
Somers, CT 06071",860-763-6500,https://portal.ct.gov/doc/facility/cybulski-community-reintegration-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garner Correctional Institution,State,Connecticut,Newtown,6470,"Garner Correctional Institution
50 Nunnawauk Road
Newtown, CT 06470","Garner Correctional Institution
50 Nunnawauk Road
Newtown, CT 06470",203-270-2800,https://portal.ct.gov/doc/facility/garner-ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford Correctional Center,State,Connecticut,Hartford,6120,"Hartford Correctional Center
177 Weston Street
Hartford, CT 06120","Hartford Correctional Center
177 Weston Street
Hartford, CT 06120",959-200-3000,https://portal.ct.gov/doc/facility/garner-ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker-MacDougall Correctional Institution,State,Connecticut,Suffield,6080,"Walker-MacDougall Correctional Institution
1153 East Street South
Suffield, CT 06080","Walker-MacDougall Correctional Institution
1153 East Street South
Suffield, CT 06080",860-292-3400,https://portal.ct.gov/doc/facility/macdougall-walker-ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manson Youth Institution,State,Connecticut,Cheshire,6410,"Manson Youth Institution
42 Jarvis Street
Cheshire, CT 06410","Manson Youth Institution
42 Jarvis Street
Cheshire, CT 06410",203-806-2500,https://portal.ct.gov/doc/facility/manson-yi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Haven Correctional Center,State,Connecticut,New Haven,6511,"New Haven Correctional Center
245 Whalley Avenue
New Haven, CT 06511","New Haven Correctional Center
245 Whalley Avenue
New Haven, CT 06511",203-974-4111,https://portal.ct.gov/doc/facility/new-haven-cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osborn Correctional Institution,State,Connecticut,Somers,6071,"Osborn Correctional Institution
335 Bilton Road
Somers, CT 06071","Osborn Correctional Institution
P.O. Box 100
Somers, CT 06071",860-814-4600,https://portal.ct.gov/doc/facility/osborn-ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinson Correctional Institution,State,Connecticut,Enfield,6082,"Robinson Correctional Institution
285 Shaker Road
Enfield, CT 06082","Robinson Correctional Institution
P.O. Box 1400
Enfield, CT 06082",860-253-8000,https://portal.ct.gov/doc/facility/robinson-ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybulski Community Reintegration Center,State,Connecticut,Somes,6071,"Cybulski Community Reintegration Center
264 Bilton Road
Somers, CT 06071","Cybulski Community Reintegration Center
264 Bilton Road
Somers, CT 06071",860-763-6500,https://portal.ct.gov/doc/facility/cybulski-community-reintegration-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York Correctional Institution,State,Connecticut,Niantic,6357,"York Correctional Institution
201 West Main Street
Niantic, CT 06357","York Correctional Institution
201 West Main Street
Niantic, CT 06357",860-451-3001,https://portal.ct.gov/doc/facility/york-ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
