Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
"Apalachee Correctional Institution, East Unit",State,Florida,Sneads,32460-4166,"Apalachee Correctional Institution, East Unit
35 Apalachee Drive
Sneads, FL 32460-4166","Apalachee Correctional Institution, East Unit
P.O. Box 23608
Tampa, FL 33623",850-718-0688,https://www.fdc.myflorida.com/institutions/contact-an-inmate,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apalachee Correctional Institution, West Unit",State,Florida,Sneads,32460-4165,"Apalachee Correctional Institution, West Unit
52 West Unit Drive
Sneads, FL 32460-4165",,850-593-9702,https://www.fdc.myflorida.com/institutions/institutions-list/apalachee-correctional-institution-west-unit,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avon Park Correctional Institution,State,Florida,Avon Park,33825,"Avon Park Correctional Institution
8100 Highway 64 East
Avon Park, FL 33825","Avon Park Correctional Institution
P.O. Box 23608
Tampa, FL 33623",863-452-8801,https://www.fdc.myflorida.com/institutions/institutions-list/503,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Correctional Institution,State,Florida,Sanderson,32087-2359,"Baker Correctional Institution
20706 US Highway 90 West
Sanderson, FL 32087-2359",,,https://www.fdc.myflorida.com/institutions/list-of-major-institutions/279,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Correctional Facility,State,Florida,Panama City,32404-5492,"Bay Correctional Facility
5400 Bayline Drive
Panama City, FL 32404-5492","Bay Correctional Facility
P.O. Box 23608
Tampa, FL 33623",850-769-1455,https://www.fdc.myflorida.com/institutions/list-of-major-institutions/112,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater River Correctional Facility,State,Florida,Milton,32583,"Blackwater River Correctional Facility
5914 Jeff Ates Road
Milton, FL 32583","Blackwater River Correctional Facility
P.O. Box 23608
Tampa, FL 33623",850-983-4100,https://www.fdc.myflorida.com/institutions/institutions-list/185,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun Correctional Institution,State,Florida,Blountstown,32424-5156,"Calhoun Correctional Institution
19562 SE Institution Dr
Blountstown, FL 32424-5156","Calhoun Correctional Institution
P.O. Box 23608
Tampa, FL 33623",850-237-6500,https://www.fdc.myflorida.com/institutions/institutions-list/105,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Florida Reception Center,State,Florida,Orlando,32831-2518,"Central Florida Reception Center
7000 H C Kelley Road
Orlando, FL 32831-2518","Central Florida Reception Center
P.O. Box 23608
Tampa, FL 33623",407-207-7777,https://www.fdc.myflorida.com/institutions/list-of-major-institutions/central-florida-reception-center,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Florida Reception Center, East Unit",State,Florida,Orlando,32831-2518,"Central Florida Reception Center, East Unit
7000 H C Kelley Rd
Orlando, FL 32831-2518","Central Florida Reception Center, East Unit
P.O. Box 23608
Tampa, FL 33623",407-207-7777,https://www.fdc.myflorida.com/institutions/list-of-major-institutions/central-florida-reception-center,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Florida Reception Center, South Unit",State,Florida,Tampa,33623,"Central Florida Reception Center, South Unit
P.O. Box 23608
Tampa, FL 33623","Central Florida Reception Center, South Unit
P.O. Box 23608
Tampa, FL 33623",,https://www.fdc.myflorida.com/institutions/contact-an-inmate,https://www.fdc.myflorida.com/institutions/contact-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
