Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Arrendale State Prison,State,Georgia,Alto,30510,"2023 Gainesville Highway South
Alto, GA 30510","P.O. Box 709
Alto, GA 30510",(706)-776-4700,https://gdc.georgia.gov/locations/lee-arrendale-state-prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta State Medical Prison,State,Georgia,Grovetown,30813,"3001 Gordon Highway
Grovetown, Georgia 3081","3001 Gordon Highway
Grovetown, Georgia 30813",(706)-855-4700,https://gdc.georgia.gov/locations/augusta-state-med-prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autry State Prison,State,Georgia,Pelham,31779,"3178 Mount Zion Church Road
Pelham, GA 31779","P.O. Box 648
Pelham, GA 31779",(229)-294-2940,https://gdc.georgia.gov/locations/autry-state-prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin State Prison,State,Georgia,Hardwick,31034,"Laying Farm Road
Hardwick, GA 31034","Baldwin State Prison
P.O. Box 218
Hardwick, GA 31034",(478)-445-5218,https://gdc.georgia.gov/locations/baldwin-state-prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulloch County Correctional Institution,County Jail,Georgia,Statesboro,30458,"17301 U.S. Highway 301 North Building 209
Statesboro, GA 30458","17301 U.S. Highway 301 North Building 209
Statesboro, GA 30458",(912)-764-6217,https://bullochsheriff.com/,https://bullochsheriff.com/contact-an-inmate/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burruss Correctional Training Center,State,Georgia,Forsyth,31029,"1000 Indian Springs Drive
Forsyth, GA 31029","P.O. Box 5849
Forsyth, GA 31029",(478)-994-7511,https://gdc.georgia.gov/locations/burruss-correctional-training-ctr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun State Prison,State,Georgia,Morgan,39866,"27823 Main Street
Morgan, GA 39866","P.O. Box 249
Morgan, GA 39866",(229)-849-5000,https://gdc.georgia.gov/locations/calhoun-state-prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll County Correctional Institution,County Jail,Georgia,Carrollton,30117,"96 Horsley Mill Road
Carrollton, GA 30117","96 Horsley Mill Road
Carrollton, GA 30117",(770)-830-5905,https://www.carrollcountyga.gov/DocumentCenter/View/6336/CCCI-INMATE-HANDBOOK?bidId=,https://www.carrollcountyga.gov/DocumentCenter/View/6336/CCCI-INMATE-HANDBOOK?bidId=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central State Prison,State,Georgia,Macon,31208,"4600 Fulton Mill Road
Macon, GA 31208","4600 Fulton Mill Road
Macon, GA 31208",(478)-471-2906,https://gdc.georgia.gov/locations/central-state-prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke County Correctional Institution,County Jail,Georgia,Athens,30605,"Clarke County Correctional Institution
2825 County Farm Road
Athens, GA 30605","​Clarke County Correctional Institution
2825 County Farm Road
Athens, GA 30605",(706)-613-3400,https://gdc.georgia.gov/locations/clarke-county-correctional-institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton County Correctional Institution,County Jail,Georgia,Lovejoy,30250,"Clayton County Correctional Institution
11420 S.L. R. Boulevard
Lovejoy, GA 30250","Clayton County Correctional Institution
P.O. Box 309
Lovejoy, GA 30250",(770)-473-5777,https://www.claytoncountyga.gov/government/corrections-department/clayton-county-prison/,https://www.claytoncountyga.gov/government/corrections-department/clayton-county-prison/sending-money-to-an-inmate/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal State Prison,State,Georgia,Garden City,31418,"Coastal State Prison
200 Gulf Stream Road
Garden City, GA 31418","​Coastal State Prison
P.O. Box 7150
Garden City, GA 31418",(912)-965-6330,https://gdc.georgia.gov/locations/coastal-state-prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Correctional Facility,State,Georgia,Nicholls,31554,"Coffee Correctional Facility
1153 North Liberty Street
Nicholls, GA 31554","Coffee Correctional Facility
P.O. Box 650
Nicholls, GA 31554",(912)-345-5058,https://gdc.georgia.gov/locations/coffee-correctional-institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colquitt County Correctional Institution,County Jail,Georgia,Moultrie,31768,"Colquitt County Correctional Institution
200 South Vadenberg Drive
Moultrie, GA 31768","​Colquitt County Correctional Institution
P.O. Box 339, Route 2
Moultrie, GA 31768",(229)-616-7490,https://www.colquittcountyga.gov/departments/county_prison.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coweta County Correctional Institution,County Jail,Georgia,Newnan,30263,"Coweta County Correctional Institution
101 Selt Road
Newnan, GA 30263","​Coweta County Correctional Institution
101 Selt Road
Newnan, GA 30263",(770)-254-3723,https://gdc.georgia.gov/locations/coweta-county-correctional-institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur County Correctional Institution,County Jail,Georgia,Bainbridge,39817,"Decatur County Correctional Institution
1153 Airport Road
Bainbridge, GA 39817","​Decatur County Correctional Institution
1153 Airport Road
Bainbridge, GA 39817",(229)-248-3035,https://www.decaturcountyga.gov/decatur-county-prison-dcci/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodge State Prison,State,Georgia,Chester,31012,"Dodge State Prison
2971 Old Bethel Church Road
Chester, GA 31012","​Dodge State Prison
P.O. Box 276
Chester, GA 31012",(478)-358-7200,https://gdc.georgia.gov/locations/dodge-state-prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dooly State Prison,State,Georgia,Unadilla,31091,"Dooly State Prison
1412 Plunkett Road
Unadilla, GA 31091","​Dooly State Prison
P.O. Box 750
Unadilla, GA 31091",(478)-627-2000,https://gdc.georgia.gov/locations/dooly-state-prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effingham County Correctional Institution,County Jail,Georgia,Springfield,31329,"Effingham County Correctional Institution
321 Highway 119 South
Springfield, GA 31329","​Effingham County Correctional Institution
P.O. Box 235
Springfield, GA 31329",(912)-754-2108,https://gdc.georgia.gov/locations/effingham-county-correctional-institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
