Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Halawa Correctional Facility,State,Idaho,Aiea,96701,"Halawa Correctional Facility
99-902 Moanalua Road
Aiea, HI 96701","Halawa Correctional Facility
99-902 Moanalua Road
Aiea, HI 96701",808-485-5200,https://dcr.hawaii.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho Maximum Security Institution (IMSI),State,Idaho,Kuna,83634,"Idaho Maximum Security Institution (IMSI)
13400 S. Pleasant Valley Road
Kuna, ID 83634","Idaho Maximum Security Institution (IMSI)
P.O. Box 51
Boise, ID 83707",208-338-1635,https://www.idoc.idaho.gov/content/locations/prisons/idaho_maximum_security_institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho State Correctional Center (ISCC),State,Idaho,Kuna,83634,"Idaho State Correctional Center (ISCC)
14601 S Pleasant Valley Road
Kuna, ID 83634","Idaho State Correctional Center (ISCC)
P.O. Box 70010
Boise, ID 83707",208-338-1635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho State Correctional Institution (ISCI),State,Idaho,Kuna,83634,"Idaho State Correctional Institution (ISCI)
13500 S Pleasant Valley Road
Kuna, ID 83634","Idaho State Correctional Institution (ISCI)
P.O. Box 14
Boise, ID 83707",208-336-0740,https://www.idoc.idaho.gov/content/locations/prisons/idaho-state-correctional-institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain View Transformation Center,State,Idaho,Kuna,83634,"Mountain View Transformation Center
15505 S. Pleasant Valley Road
Kuna, ID 83634","Mountain View Transformation Center
P.O. Box 8509
Boise, ID 83707",208-336-9959,https://www.idoc.idaho.gov/content/locations/prisons/mountain-view-transformation-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Idaho Correctional Institution,State,Idaho,Cottonwood,83522,"North Idaho Correctional Institution
236 Radar Road
Cottonwood, ID 83522","North Idaho Correctional Institution
236 Radar Road
Cottonwood, ID 83522",208-962-3276,https://www.idoc.idaho.gov/content/locations/prisons/north_idaho_correctional_institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocatello Women's Correctional Center (PWCC),State,Idaho,Pocatello,83204,"Pocatello Women's Correctional Center (PWCC)
1451 Fore Road
Pocatello, ID 83204","Pocatello Women's Correctional Center (PWCC)
1451 Fore Road
Pocatello, ID 83204",208-236-6360,https://www.idoc.idaho.gov/content/locations/prisons/pocatello-womens-correctional-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguaro Correctional Facility,State,Idaho,Eloy,85131,"Saguaro Correctional Facility
1250 East Arica Road
Eloy, AZ 85131","Saguaro Correctional Facility
1250 East Arica Road
Eloy, AZ 85131",520-464-0500,https://www.corecivic.com/facilities/saguaro-correctional-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Boise Women's Correctional Center,State,Idaho,Kuna,83634,"South Boise Women's Correctional Center
13200 Pleasant Valley Rd
Kuna, ID 83634","South Boise Women's Correctional Center
P.O. Box 51
Boise, ID 83707",208-334-2731,https://www.idoc.idaho.gov/content/locations/prisons/south-boise-womens-correctional-center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Idaho Correctional Institution (SICI),State,Idaho,Kuna,83634,"South Idaho Correctional Institution
13900 Pleasant Valley Road
Kuna, ID 83634","South Idaho Correctional Institution
P.O. Box 8509
Boise, ID 83707",208-336-1260,https://www.idoc.idaho.gov/content/locations/prisons/south-idaho-correctional-institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Anthony Work Camp (SAWC),State,Idaho,St. Anthony,83445,"St. Anthony Work Camp
125 N. 8th West
St. Anthony, ID 83445","SSt. Anthony Work Camp 
125 N. 8th West
St. Anthony, ID 83445",208-624-3775,https://www.idoc.idaho.gov/content/locations/prisons/st-anthony-work-camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
