Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Big Muddy River Correctional Center,State,Illinois,Ina,62846,"Big Muddy River Correctional Center
251 N. Illinois Highway 37
Ina, IL 62846","Big Muddy River Correctional Center
251 N. Illinois Highway 37
Ina, IL 62846",618-437-5300,https://idoc.illinois.gov/facilities/allfacilities/facility.big-muddy-river-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centralia Correctional Center,State,Illinois,Centralia,62801,"Centralia Correctional Center
9330 Shattuc Road
Centralia, IL 62801","Centralia Correctional Center
P.O. Box 7711
Centralia, IL 62801",618-533-4111,https://idoc.illinois.gov/facilities/southerndistrict/facility.centralia-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Work Camp,State,Illinois,Clayton,62324,"Clayton Work Camp
306 Correctional Drive
Clayton, IL 62324","Clayton Work Camp
2500 Rt. 99 South
Mount Sterling, IL 62353",217-894-6577,https://idoc.illinois.gov/facilities/centraldistrict/facility.clayton-work-camp.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Adult Transition Center,State,Illinois,Chicago,60624,"Crossroads Adult Transition Center
3210 West Arthington
Chicago, IL 60624","Crossroads ATC
3210 West Arthington
Chicago, IL 60624",217-894-6577,https://idoc.illinois.gov/facilities/adulttransitioncenters/facility.crossroads-adult-transition-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danville Correctional Center,State,Illinois,Danville,61834,"Danville Correctional Center
3820 East Main Street
Danville, IL 61834","Danville Correctional Center
3820 East Main Street
Danville, IL 61834",217-446-0441,https://idoc.illinois.gov/facilities/allfacilities/facility.danville-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur Corretional Center,State,Illinois,Danville,61834,"Decatur Correctional Center
2310 East Mound Road
Decatur, IL 62524","Decatur Correctional Center
P.O. Box 3066
Decatur, IL 62524",217-877-0353,https://idoc.illinois.gov/facilities/allfacilities/facility.danville-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dixon Correctional Center,State,Illinois,Dixon,61021,"Dixon Correctional Center
2600 N, Brinton Avenue
Dixon, IL 61021","Dixon Correctional Center
2600 N. Brinton Avenue
Dixon, IL 61021",815-288-5561,https://idoc.illinois.gov/facilities/allfacilities/facility.dixon-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Moline Correctional Center,State,Illinois,East Moline,61244,"East Moline Correctional Center
100 Hillcrest Road
East Moline, IL 61244","East Moline Correctional Center
100 Hillcrest Road
East Moline, IL 61244",309-755-4511,https://idoc.illinois.gov/facilities/allfacilities/facility.east-moline-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Valley Adult Transition Center,State,Illinois,Aurora,60506,"Fox Valley Adult Transition Center
1329 North Lake Street
Aurora, IL 60506","Fox Valley Adult Transition Center
1329 North Lake Street
Aurora, IL 60506",630-897-5610,https://idoc.illinois.gov/facilities/adulttransitioncenters/facility.fox-valley-adult-transition-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham Correctional Center,State,Illinois,Hillsboro,62049,"Graham Correctional Center
12078 Illinois Route 185
Hillsboro, IL 62049","Graham Correctional Center
12078 Illinois Route 185
Hillsboro, IL 62049",217-532-6961,https://idoc.illinois.gov/facilities/allfacilities/facility.graham-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hill Correctional Center,State,Illinois,Galesburg,61402,"Hill Correctional Center
600 South Linwood Road
Galesburg, IL 61402","Hill Correctional Center
P.O. Box 1700
Galesburg, IL 61402",309-343-4212,https://idoc.illinois.gov/facilities/northerndistrict/facility.hill-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois River Correctional Center,State,Illinois,Canton,61520,"Illinois River Correctional Center
1300 W. Locust Street
Canton, IL 61520","Illinois River Correctional Center
P.O. Box 999
Canton, IL 61520",309-647-7030,https://idoc.illinois.gov/facilities/allfacilities/facility.illinois-river-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacksonville Correctional Center,State,Illinois,Jacksonville,62650,"Jacksonville Correctional Center
2268 East Morton Avenue
Jacksonville, IL 62650","Jacksonville Correctional Center
2268 East Morton Avenue
Jacksonville, IL 62650",217-245-1481,https://idoc.illinois.gov/facilities/allfacilities/facility.jacksonville-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Correctional Center,State,Illinois,Sumner,62466,"Lawrence Correctional Center
10940 Lawrence Road
Sumner, IL 62466","Lawrence Correctional Center
10930 Lawrence Road
Sumner, IL 62466",618-936-2064,https://idoc.illinois.gov/facilities/allfacilities/facility.lawrence-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Correctional Center,State,Illinois,Lincoln,62656,"Lincoln Correctional Center
1098 1350th Street
Lincoln, IL 62656","Lincoln Correctional Center
P.O. Box 549
Lincoln, IL 62656",217-735-5411,https://idoc.illinois.gov/facilities/allfacilities/facility.lincoln-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Correctional Center,State,Illinois,Lincoln,62656,"Logan Correctional Center
1096 1350th Street
Lincoln, IL 62656","Logan Correctional Center
P.O. Box 1000
Lincoln, IL 62656",217-735-5581,https://idoc.illinois.gov/facilities/allfacilities/facility.logan-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menard Correctional Center,State,Illinois,Menard,62259,"Menard Correctional Center
711 Kaskasia Street
Menard, IL 62259","Menard Correctional Center
P.O. Box 1000
Menard, IL 62259",618-826-5071,https://idoc.illinois.gov/facilities/allfacilities/facility.menard-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lawndale Adult Transition Center,State,Illinois,Chicago,60612,"North Lawndale Adult Transition Center
2839 West Fillmore
Chicago, IL 60612","North Lawndale Adult Transition Center
2839 West Fillmore
Chicago, IL 60612",773-638-8480,https://idoc.illinois.gov/facilities/adulttransitioncenters/facility.north-lawndale-atc.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peoria Adult Transition Center,State,Illinois,Peoria,61602,"Peoria Adult Transition Center
607-613 North Main
Peoria, IL 61602","Peoria Adult Transition Center
607-613 North Main
Peoria, IL 61602",309-671-3162,https://idoc.illinois.gov/facilities/adulttransitioncenters/facility.peoria-adult-transition-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinckneyville Correctional Center,State,Illinois,Pinckneyville,62274,"Pinckneyville Correctional Center
5835 State Route 154
Pinckneyville, IL 62274","Pinckneyville Correctional Center
5835 State Route 154
Pinckneyville, IL 62274",618-357-9722,https://idoc.illinois.gov/facilities/allfacilities/facility.pinckneyville-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontiac Correctional Center,State,Illinois,Pontiac,61764,"Pontiac Correctional Center
700 West Lincoln Street
Pontiac, IL 61764","Pontiac Correctional Center
P.O. Box 99
Pontiac, IL 61764",815-842-2816,https://idoc.illinois.gov/facilities/allfacilities/facility.pontiac-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinson Correctional Center,State,Illinois,Robinson,62454,"Robinson Correctional Center
13423 East 1150th Avenue
Robinson, IL 62454","Robinson Correctional Center
13423 East 1150th Avenue
Robinson, IL 62454",618-546-5659,https://idoc.illinois.gov/facilities/allfacilities/facility.robinson-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawnee Correctional Center,State,Illinois,Vienna,62995,"Shawnee Correctional Center
665 State Route 146 East
Vienna, IL 62995","Shawnee Correctional Center
6665 State Route 146 East
Vienna, IL 62995",618-658-8331,https://idoc.illinois.gov/facilities/allfacilities/facility.shawnee-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan Correctional Center,State,Illinois,Sheridan,60551,"Sheridan Correctional Center
4017 E. 2603 Road
Sheridan, IL 60551","Sheridan Correctional Center
4017 E. 2603 Road
Sheridan, IL 60551",815-496-2181,https://idoc.illinois.gov/facilities/allfacilities/facility.sheridan-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwestern Illinois Correctional Center,State,Illinois,East St. Louis,62203,"Southwestern Illinois Correctional Center
950 Kingshighway Street
East St. Louis, IL 62203","Southwestern Illinois Correctional Center
P.O. Box 129
East St. Louis, IL 62203",618-394-2200,https://idoc.illinois.gov/facilities/allfacilities/facility.southwestern-illinois-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stateville Correctional Center,State,Illinois,Joliet,60434,"Stateville Correctional Center
16830 So. Broadway St.
Joliet, IL 60434","Stateville Correctional Center
P.O. Box 112
Joliet, IL 60434",815-727-3607,https://idoc.illinois.gov/facilities/allfacilities/facility.stateville-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylorville Correctional Center,State,Illinois,Taylorville,62568,"Taylorville Correctional Center
1144 Illinois Route 29
Taylorville, IL 62568","Taylorville Correctional Center
1144 Illinois Route 29
Taylorville, IL 62568",217-824-4004,https://idoc.illinois.gov/facilities/allfacilities/facility.taylorville-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vandalia Correctional Center,State,Illinois,Vandalia,62471,"Vandalia Correctional Center
Route 51 North
Vandalia, IL 62471","Vandalia Correctional Center
P.O. Box 500
Vandalia, IL 62471",618-283-4170,https://idoc.illinois.gov/facilities/allfacilities/facility.vandalia-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vienna Correctional Center,State,Illinois,Vienna,62995,"Vienna Correctional Center
6695 State Route #146 East
Vienna, IL 62995","Vienna Correctional Center
6695 State Route #146 East
Vienna, IL 62995",618-658-8371,https://idoc.illinois.gov/facilities/allfacilities/facility.vienna-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Illinois Correctional Center,State,Illinois,Mount Sterling,62353,"Western Illinois Correctional Center
2500 Rt. 99 South
Mount Sterling, IL 62353","Western Illinois Correctional Center
2500 Rt. 99 South
Mount Sterling, IL 62353",217-773-4441,https://idoc.illinois.gov/facilities/allfacilities/facility.western-illinois-correctional-center.html,https://idoc.illinois.gov/content/dam/soi/en/web/idoc/aboutus/policies/policies/operations/502151%20Mail%20Procedures%20for%20Individuals%20in%20Custody%20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
