Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Branchville Correctional Facility,State,Indiana,Branchville,47514,"Branchville Correctional Facility
21390 Old State Road 37
Branchville, IN 47514","Branchville Correctional Facility
21390 Old State Road 37
Branchville, IN 47514",812-843-5921,https://www.in.gov/idoc/indianacorrectionalindustries/locations/branchville-correctional-facility/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain O' Lakes Correctional Facility,State,Indiana,South Albion,46701,"Chain O'Lakes Community Re-Entry Center
3516 E 75
South Albion, IN 46701","Chain O'Lakes Community Re-Entry Center
3516 E. 75 South
Albion, IN 46701",260-636-3114,https://www.in.gov/idoc/facilities/adult/chain-olakes-correctional-facility/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburgh Correctional Facility,State,Indiana,Edinburgh,46124,"Edinburgh Correctional Facility
703 23rd St.
Edinburgh, IN 46124","Edinburgh Correctional Facility
P.O. Box 470
Edinburgh, IN 46124",765-778-8011,https://www.in.gov/idoc/facilities/adult/heritage-trail-correctional-facility/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana State Prison,State,Indiana,Michigan City,46360,"Indiana State Prison
1 Park Row
Michigan City, IN 46360","Indiana State Prison
1 Park Row
Michigan City, IN 46360",219-874-7258,https://www.in.gov/idoc/facilities/adult/indiana-state-prison/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Women's Prison,State,Indiana,Indianapolis,46214,"Indiana Women's Prison
2596 Girls School Road
Indianapolis, IN 46214","Indiana Women's Prison
727 Moon Road
Plainfield, IN 46168",317-244-3387,https://www.in.gov/idoc/facilities/adult/indiana-womens-prison/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Correctional Facility,State,Indiana,Bunker Hill,46914,"Miami Correctional Facility
3038 West 850 South
Bunker Hill, IN 46914","Miami Correctional Facility
3038 West 850 South
Bunker Hill, IN 46914",765-689-8920,https://www.ice.gov/detain/detention-facilities/miami-correctional-facility-mcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Castle Correctional Facility,State,Indiana,New Castle,47362,"New Castle Correctional Facility
1000 Van Nuys Road
New Castle, IN 47362","New Castle Correctional Facility
P.O. Box E
New Castle, IN 47362",765-593-0111,https://www.in.gov/idoc/facilities/adult/new-castle-correctional-facility/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendleton Correctional Facility,State,Indiana,Pendleton,46064,"Pendleton Correctional Facility
4490 W. Reformatory Road
Pendleton, IN 46064","Pendleton Correctional Facility
4490 W. Reformatory Rd
Pendleton, IN 46064",765-778-2107,https://www.in.gov/idoc/facilities/adult/pendleton-correctional-facility/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plainfield Correctional Facility,State,Indiana,Plainfield,46168,"Plainfield Correctional Facility
727 Moon Road
Plainfield, IN 46168","Plainfield Correctional Facility
727 Moon Road
Plainfield, IN 46168",317-839-2513,https://www.in.gov/idoc/facilities/adult/plainfield-correctional-facility/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnamville Correctional Facility,State,Indiana,Greencastle,46135,"Putnamville Correctional Facility
1946 West U.S. Highway 40
Greencastle, IN 46135","Putnameville Correctional Facility
1946 West U.S. Highway 40
Greencastle, IN 46135",765-653-8441,https://www.in.gov/idoc/indianacorrectionalindustries/locations/putnamville-correctional-facility/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reception Diagnostic Center,State,Indiana,Plainfield,46168,"Reception Diagnostic Center
737 Moon Road
Plainfield, IN 46168","Reception Diagnostic Center
737 Moon Road
Plainfield, IN 46168",317-839-7727,https://www.in.gov/idoc/facilities/adult/reception-diagnostic-center/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
