Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Bell County Forestry Camp,County Jail,Kentucky,Pineville,40977,"Bell County Forestry Camp
560 Correctional Drive
Pineville, KY 40977","Bell County Forestry Camp
560 Correctional Drive
Pineville, KY 40977",606-337-7065,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackburn Correctional Complex,State,Kentucky,Lexington,40511,"Blackburn Correctional Complex
3111 Spurr Road
Lexington, KY 40511","Blackburn Correctional Complex
3111 Spurr Road
Lexington, KY 40511",859-246-2366,https://corrections.ky.gov/Facilities/AI/BCC/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kentucky Correctional Complex,State,Kentucky,West Liberty,41472,"Eastern Kentucky Correctional Complex
200 Road to Justice
West Liberty, KY 41472","Eastern Kentucky Correctional Complex
200 Road to Justice
West Liberty, KY 41472",606-743-2800,https://corrections.ky.gov/Facilities/AI/EKCC/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green River Correctional Complex,State,Kentucky,Central City,42330,"Green River Correctional Complex
1200 River Road
Central City, KY 42330","Green River Correctional Complex
P.O. Box 9300
Central City, KY 4233",270-754-5415,https://corrections.ky.gov/Facilities/AI/GRCC/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky Correctional Institution for Women,State,Kentucky,Pewee Valley,40056,"Kentucky Correctional Institution for Women
3000 Ash Ave
Pewee Valley, KY 40056","Kentucky Correctional Institution for Women
3000 Ash Ave
Pewee Valley, KY 40056",502-241-8454,https://corrections.ky.gov/Facilities/AI/KCIW/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky State Penitentiary,State,Kentucky,Eddyville,42038,"Kentucky State Penitentiary
266 Water Street
Eddyville, KY 42038","Kentucky State Penitentiary
266 Water Street
Eddyville, KY 42038",270-388-2211,https://corrections.ky.gov/Facilities/AI/ksp/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky State Reformatory,State,Kentucky,LaGrange,40032,"Kentucky State Reformatory
3001 W. Hwy 146
LaGrange, KY 40032","Kentucky State Reformatory
3001 W. Hwy 146
LaGrange, KY 40032",502-222-9441,https://corrections.ky.gov/Facilities/AI/ksr/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Sandy Correctional Complex,State,Kentucky,Sandy Hook,41171,"Little Sandy Correctional Complex
505 Prison Connector
Sandy Hook, KY 41171","Little Sandy Correctional Complex
505 Prison Connector
Sandy Hook, KY 41171",606-738-6133,https://corrections.ky.gov/Facilities/AI/lscc/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Luckett Correctional Complex,State,Kentucky,LaGrange,40031,"Luther Luckett Correctional Complex
1612 Dawkins Road
LaGrange, KY 40031","Luther Luckett Correctional Complex
P.O. Box 6
LaGrange, KY 40031","502-222-0363
502-222-0365",https://corrections.ky.gov/Facilities/AI/llcc/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northpoint Training Center,State,Kentucky,Bergin,40310,"Northpoint Training Center
710 Walter Reed Road
Bergin, KY 40310","Northpoint Training Center
P.O. Box 479
Burgin, KY 40310",859-239-7012,https://corrections.ky.gov/Facilities/AI/ntc/Pages/default.aspx,https://corrections.ky.gov/Facilities/AI/BCFC/Pages/generalinmateinformation.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
