Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Baltimore City Correctional Center,,Maryland,Baltimore,21202,"Baltimore City Correctional Center
901 Greenmount Avenue
Baltimore, Maryland 21202","Baltimore City Correctional Center
901 Greenmount Avenue
Baltimore, Maryland 21202",(410)-332-4340,https://dpscs.maryland.gov/locations/bccc.shtml,https://dpscs.maryland.gov/inmateservs/mail_services.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockbridge Correctional Facility,,Maryland,Jessup,20794,"Brockbridge Correctional Facility
7930 Brock Bridge Road
Jessup, Maryland 20794","​Brockbridge Correctional Facility
7930 Brock Bridge Road
Jessup, Maryland 20794",(410)-799-1363,https://dpscs.maryland.gov/services/ii-locator.shtml?searchType=detail&id=120379436,https://dpscs.maryland.gov/inmateservs/pdfs/19528614_1.pdf,permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Central Booking and Intake Center,,Maryland,Baltimore,21202,"Baltimore Central Booking and Intake Center
300 E. Madison Street
Baltimore, Maryland 21202","Baltimore Central Booking and Intake Center
300 E. Madison Street
Baltimore, Maryland 21202",(410)-545-8122,https://dpscs.maryland.gov/locations/bcbic.shtml,https://dpscs.maryland.gov/inmateservs/mail_services.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore City Detention Center,,Maryland,"Baltimore,",21202,"Baltimore City Detention Center
401 E. Eager Street
Baltimore, Maryland 21202","​Baltimore City Detention Center
401 E. Eager Street
Baltimore, Maryland 21202","(410)-209-4001
(410)-209-4145",Permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore Pre-Release Unit,,Maryland,Baltimore,21202,"Baltimore Pre-Release Unit
531 East Madison Street
Baltimore, Maryland 21202","​Baltimore Pre-Release Unit
531 East Madison Street
Baltimore, Maryland 21202",(410)-209-4237,https://www.prisonpro.com/content/baltimore-pre-release-unit,https://www.prisonpro.com/content/maryland-inmate-phonessending-money-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Maryland Correctional Facility,,Maryland,Sykesville,21784,"Central Maryland Correctional Facility
7301 Buttercup Road
Sykesville, Maryland 21784","​Central Maryland Correctional Facility
7301 Buttercup Road
Sykesville, Maryland 21784",(410)-781-4444,https://dpscs.maryland.gov/locations/cmcf.shtml,https://dpscs.maryland.gov/inmateservs/mail_services.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesapeake Detention Facility,,Maryland,Baltimore,21202,"Chesapeake Detention Facility
401 East Madison Street
Baltimore, Maryland 21202","​Chesapeake Detention Facility
401 East Madison Street
Baltimore, Maryland 21202",(410)-539-5445,https://dpscs.maryland.gov/locations/cdf.shtml,https://dpscs.maryland.gov/inmateservs/mail_services.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patuxent Institution,,Maryland,Jessup,20794,"Patuxent Institution
7555 Waterloo Road
Jessup, Maryland 20794","​Patuxent Institution
P.O. Box 700
Jessup, MD 20794",(410)-799-3400,https://dpscs.maryland.gov/rehabservs/patx/patx.shtml,https://dpscs.maryland.gov/inmateservs/mail_services.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Correctional ,,Maryland,Westover,21890,"Eastern Correctional Institution
30420 Revells Neck Road
Westover, Maryland 21890","​Eastern Correctional Institution
30420 Revells Neck Road
Westover, Maryland 21890

Eastern Correctional Institution Annex
30430 Revells Neck Road
​Westover, Maryland 21890","(410)-845-4000
(877)-802-6074",https://dpscs.maryland.gov/locations/eci.shtml,https://dpscs.maryland.gov/inmateservs/mail_services.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessup Correctional Institution,,Maryland,Jessup,20794,"​Jessup Correctional Institution
7804 House of Correction Rd
Jessup, MD 20794","​Jessup Correctional Institution
Post Office Box 534
Jessup, Maryland 20794","(410)-799-6100
(877)-304-9755",https://dpscs.maryland.gov/locations/jci.shtml,https://dpscs.maryland.gov/inmateservs/mail_services.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
