Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Bay State Correctional Center,State,Massachusetts ,Norfolk,2056,"Bay State Correctional Center
28 Clark Street
Norfolk, MA 02056","​Bay State Correctional Center
P.O. Box 73
Norfolk, MA 02056",(508)-668-1687,,https://www.prisonpro.com/content/massachusetts-inmate-phonessending-money-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Pre-Release Center,State,Massachusetts ,Roslindale,2131,"Boston Pre-Release 
430 Canterbury St.
Roslindale, MA 02131","​Boston Pre-Release 
430 Canterbury St.
Roslindale, MA 02131","(617)-822-5000

",https://www.mass.gov/locations/boston-pre-release-center,https://www.mass.gov/doc/103-cmr-481-inmate-mail-0/download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater State Hospital,State,Massachusetts ,Bridgewater,2324,"Bridgewater State Hospital
20 Administration Road
Bridgewater, MA 02324","​Bridgewater State Hospital
20 Administration Road
Bridgewater, MA 02324",(508)-279-4500,https://www.mass.gov/locations/bridgewater-state-hospital,https://www.mass.gov/doc/103-cmr-481-inmate-mail-0/download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemuel Shattuck Hospital Correctional Unit,State,Massachusetts ,Jamaica Plain,2130,"Lemuel Shattuck Hospital Correctional Unit
180 Morton Street
Jamaica Plain, MA 02130","Lemuel Shattuck Hospital Correctional Unit
180 Morton Street
Jamaica Plain, MA 02130",(617)-522-7585,https://www.mass.gov/locations/lemuel-shattuck-hospital-correctional-unit,https://www.mass.gov/doc/103-cmr-481-inmate-mail-0/download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts Alcohol and Substance Abuse Center,State,Massachusetts ,Bridgewater,2324,"Massachusetts Alcohol and Substance Abuse Center
2 Administration Road
Bridgewater, MA 02324","​Massachusetts Alcohol and Substance Abuse Center
2 Administration Road
Bridgewater, MA 02324",(508)-279-3500,https://www.mass.gov/locations/massachusetts-treatment-center,https://www.mass.gov/doc/103-cmr-481-inmate-mail-0/download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts Treatment Center,State,Massachusetts ,Bridgewater,2324,"Massachusetts Treatment Center
30 Administration Road
Bridgewater, MA 02324","​Massachusetts Treatment Center
30 Administration Road
Bridgewater, MA 02324",(508)-279-8100,https://www.mass.gov/locations/massachusetts-treatment-center,https://www.mass.gov/doc/103-cmr-481-inmate-mail-0/download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCI - Cedar Junction,State,Massachusetts ,South Walpole,2071,"MCI Cedar Junction
Route 1A
South Walpole, MA 02071","MCI Cedar Junction
P.O. Box 100
South Walpole, MA 02071",(508)-660-8000,https://www.mass.gov/news/department-of-correction-ends-mci-cedar-junction-housing-operations-and-dissolves-department-disciplinary-unit,Permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCI - Concord,State,Massachusetts ,Concord,1742,"MCI Concord
965 Elm Street
Concord, MA 01742","​MCI Concord
PO Box 9106
Concord, MA 01742",(978)-405-6100,https://www.mass.gov/news/milestone-achieved-massachusetts-department-of-correction-successfully-concludes-housing-operations-at-mci-concord?_ga=2.179119972.1788713131.1744886728-1991576295.1744886728&_gl=1*1smy3fp*_ga*MTk5MTU3NjI5NS4xNzQ0ODg2NzI4*_ga_MCLPEGW7WM*MTc0NDg4NjczNi4xLjAuMTc0NDg4NjczNi4wLjAuMA..,Permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCI Framingham,State,Massachusetts ,Framingham,1701,"MCI Framingham
99 Loring Drive
Framingham, MA 01701","​MCI Framingham
PO Box 9007
Framingham, MA 01701",(508)-532-5100,https://www.mass.gov/locations/mci-framingham,https://www.mass.gov/doc/103-cmr-481-inmate-mail-0/download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCI - Norfolk,State,Massachusetts ,Norfolk,2056,"MCI Norfolk
2 Clark Street
Norfolk, MA 02056","​MCI Norfolk
PO Box 43
Norfolk, MA 02056",(508)-660-5900,https://www.mass.gov/locations/mci-norfolk,https://www.mass.gov/doc/103-cmr-481-inmate-mail-0/download,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
