9781544532899,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Baraga Correctional Facility,State,Michigan,Baraga,49908-9204,"Baraga Correctional Facility
13924 Wadaga Road
Baraga, MI 49908-9204","​Baraga Correctional Facility
13924 Wadaga Road
Baraga, MI 49908-9204",(906)-353-7070,https://www.michigan.gov/corrections/prisons/baraga-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellamy Creek Correctional Facility,State,Michigan,Ionia,48846,"Bellamy Creek Correctional Facility
1727 West Bluewater Highway
Ionia, MI 48846","​Bellamy Creek Correctional Facility
1727 West Bluewater Highway
Ionia, MI 48846","(616)-527-2510

",https://www.michigan.gov/en/corrections/Prisons/Bellamy-Creek-Correctional-Facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyer Road Correctional Facility (Carson City East & West),State,Michigan,Carson City,48811,"Boyer Road Correctional Facility
10274 Boyer Road
Carson City, MI 48811","Boyer Road Correctional Facility
10274 Boyer Road
Carson City, MI 48811",(989)-584-3941,https://www.michigan.gov/corrections/prisons/closed-facilities/boyer-road-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Michigan Correctional Facility,State,Michigan,St. Louis,48880,"Central Michigan Correctional Facility
320 N. Hubbard
St. Louis, MI 48880","​Central Michigan Correctional Facility
320 N. Hubbard
St. Louis, MI 48880",(989)-681-6668,https://www.michigan.gov/corrections/prisons/central-michigan-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Egeler Reception & Guidance Center,State,Michigan,Jackson,49201-7547,"Charles Egeler Reception & Guidance Center
3855 Cooper St. 
Jackson, MI 49201-7547","Charles Egeler Reception & Guidance Center
3855 Cooper St. 
Jackson, MI 49201-7547",(517)-780-5600,https://www.michigan.gov/en/corrections/Prisons/Charles-E-Egeler-Reception-and-Guidance-Center,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chippewa Correctional Facility,State,Michigan,Kincheloe,49784,"Chippewa Correctional Facility
4269 W. M-80
Kincheloe, MI 49784","Chippewa Correctional Facility
4269 W. M-80
Kincheloe, MI 49784","(906)-495-2275
",https://www.michigan.gov/corrections/prisons/chippewa-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Street Correctional Facility,State,Michigan,Kincheloe,49784,"Chippewa Correctional Facility
4269 W. M-80
Kincheloe, MI 49784","​Chippewa Correctional Facility
4269 W. M-80
Kincheloe, MI 49784",(906)-495-2275,https://www.michigan.gov/corrections/prisons/cooper-street-correctional-facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Detention Center,State,Michigan,Detroit,48212,"Detroit Detention Center
17601 Mound Road
Detroit, MI 48212","​Detroit Detention Center
17601 Mound Road
Detroit, MI 48212
",(313)-368-8300,https://www.michigan.gov/corrections/prisons/detroit-detention-center,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Reentry Center,State,Michigan,Detroit,48212,"Detroit Reentry Center
17600 Ryan Road
Detroit, MI 48212","​Detroit Reentry Center
17600 Ryan Road
Detroit, MI 48212",(313)-368-3200,https://www.michigan.gov/corrections/prisons/closed-facilities/detroit-reentry-center,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnest C. Brooks Correctional Facility,State,Michigan,Muskegon Heights,49444,"Earnest C. Brooks Correctional Facility
2500 S. Sheridan Drive
Muskegon Heights, MI 49444","​Earnest C. Brooks Correctional Facility
2500 S. Sheridan Drive
Muskegon Heights, MI 49444",(231)-773-9200,https://www.michigan.gov/en/corrections/Prisons/Earnest-C-Brooks-Correctional-Facility,https://www.michigan.gov/corrections/-/media/Project/Websites/corrections/Files/Policy-Directives/PDs-05-Institutional-Placement-and-Programs/PD-0503-Programs-and-Leisure-Time-Activities/05-03-118-Prisoner-Mail-effective-03-01-18.pdf?rev=b6fd347284ac4d2cba55e4f3fa615bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
