Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Fairbault Correctional Facility,State,Minnesota  ,Faribault,55021-6400,"Fairbault Correctional Facility
1101 Linden Lane
Faribault, Minnesota  55021-6400","​Fairbault Correctional Facility
1101 Linden Lane
Faribault, Minnesota  55021-6400",(507)-334-0700,https://mn.gov/doc/facilities/faribault/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lino Lakes Correctional Facility,State,Minnesota  ,Lino Lakes,55014,"Lino Lakes Correctional Facility
7525 Fourth Avenue
Lino Lakes, Minnesota  55014","Lino Lakes Correctional Facility
7525 Fourth Avenue
Lino Lakes, Minnesota  55014",(651)-717-6100,https://mn.gov/doc/facilities/lino-lakes/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Park Heights Correctional Facility,State,Minnesota  ,Stillwater,55082-1117,"Oak Park Heights Correctional Facility
5329 Osgood Avenue North
Stillwater, Minnesota  55082-1117","Oak Park Heights Correctional Facility
5329 Osgood Avenue North
Stillwater, Minnesota  55082-1117",(651)-779-1400,https://mn.gov/doc/facilities/oak-park-heights/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Wing Correctional Facility,State,Minnesota  ,Red Wing,55066,"Red Wing Correctional Facility
1079 Highway 292
Red Wing, MN 55066","​Red Wing Correctional Facility
1079 Highway 292
Red Wing, MN 55066",(651)-267-3600,https://mn.gov/doc/facilities/red-wing/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rush City Correctional Facility,State,Minnesota  ,Rush City,55069,"Rush City Correctional Facility
7600 - 525th St.
Rush City, Minnesota 55069","​Rush City Correctional Facility
7600 - 525th St.
Rush City, Minnesota 55069",(320)-358-0400,https://mn.gov/doc/facilities/rush-city/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakopee Correctional Facility,State,Minnesota  ,Shakopee,55379,"Shakopee Correctional Facility
1010 West Sixth Avenue
Shakopee, Minnesota 55379","​Shakopee Correctional Facility
1010 West Sixth Avenue
Shakopee, Minnesota 55379",(952)-496-4440,https://mn.gov/doc/facilities/rush-city/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Cloud Correctional Facility,State,Minnesota  ,St. Cloud,56304,"St. Cloud Correctional Facility
2305 Minnesota Boulevard S.E.
St. Cloud, MN 56304","​St. Cloud Correctional Facility
2305 Minnesota Boulevard S.E.
St. Cloud, MN 56304",(320)-240-3000,https://mn.gov/doc/facilities/st-cloud/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stillwater Correctional Facility,State,Minnesota  ,Bayport,55003-1490,"Stillwater Correctional Facility
970 Pickett Street
Bayport, Minnesota 55003-1490","​Stillwater Correctional Facility
970 Pickett Street
Bayport, Minnesota 55003-1490",(651)-779-2700,https://mn.gov/doc/facilities/stillwater/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo Correctional Facility,State,Minnesota  ,Togo,55723,"Togo Correctional Facility
62741 Co Rd. 551
Togo, MN 55723","​Togo Correctional Facility
62741 Co Rd. 551
Togo, MN 55723",(218)-376-4411,https://mn.gov/doc/facilities/cip-at-togo-willow-river-shakopee/togo/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willow River/Moose Lake Correctional Facility,State,Minnesota  ,Moose Lake,55767,"Willow River/Moose Lake Correctional Facility
1000 Lake Shore Drive
Moose Lake, Minnesota 55767","​Willow River/Moose Lake Correctional Facility
1000 Lake Shore Drive
Moose Lake, Minnesota 55767",(218)-485-5000,https://mn.gov/doc/facilities/moose-lake/,https://mn.gov/doc/family-visitor/contact-and-general-information/how-send-mail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
