Column 1,Facility Type,State,City,Column 5,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Alcorn County Correctional Facility,State,Mississippi,Corinth,38834,"2839 South Harper Road
Corinth, MS  38834","2839 South Harper Road
Corinth, MS  38834",(662)-745-6611,https://www.alcorncountycorrectionalfacility.com/#,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivar County Correctional Facility,State,Mississippi,Cleveland,38732,"2792 Hwy 8 West
Cleveland, MS 38732","2792 Hwy 8 West
Cleveland, MS 38732",(662)-843-7478,https://www.co.bolivar.ms.us/regional-correctional-facility#!regional-correctional-facility/c1rlj,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll-Montgomery County Regional Correctional Facility,State,Mississippi,Vaiden,39176,"33714 MS Highway 35
Vaiden, Mississippi 39176","33714 MS Highway 35
Vaiden, Mississippi 39176",(662)-464-5440,https://www.mdoc.ms.gov/facilities/carroll-county-regional-correctional-facility,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Mississippi Correctional Facility
",State,Mississippi,Pearl,39208,"3794 Hwy 468
Pearl, MS  39208","Post Office Box 88550
Pearl, MS  39208",(601)-932-2880,https://www.mdoc.ms.gov/,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickasaw County Regional Correctional Facility,State,Mississippi,Houston,38851,"120 Lancaster Circle
Houston, MS 38851","120 Lancaster Circle
Houston, MS 38851",(662)-456-3319,https://www.mdoc.ms.gov/facilities/chickasaw-county-regional-correctional-facility,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Mississippi Correctional Facility,State,Mississippi,Meridian,39307,"10641 Highway 80 East
Meridian, MS 39307","10641 Highway 80 East
Meridian, MS 39307",(601)-485-5255,https://www.mdoc.ms.gov/,         https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George-Greene County Regional Correctional Facility,State,Mississippi,Lucedale,39452,"154 Industrial Park Rd.
Lucedale, MS 39452","154 Industrial Park Rd.
Lucedale, MS 39452",(601)-947-9399,https://www.mdoc.ms.gov/facilities/georgegreene-county-correctional-facility,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmes-Humphreys County Regional Correctional Facility,State,Mississippi,Lexington,39095,"23234 Hwy. 12 East
Lexington, MS 39095","23234 Hwy. 12 East
Lexington, MS 39095",(662)-834-5016,https://www.mdoc.ms.gov/facilities/holmeshumphreys-county-correctional-facility,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issaquena County Correctional Facility,State,Mississippi,Mayersville,39113,"22746 Mississippi Hwy 1
Mayersville, MS 39113","Post Office Box 220
Mayersville, MS 39113",(662)-873-2153,https://www.mdoc.ms.gov/facilities/issaquena-county-correctional-facility,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson-Franklin County Correctional,State,Mississippi,Fayette,39069,"22746 Mississippi Hwy 1
Mayersville, MS 39113","P.O. Box 218
Fayette, MS 39069",(601)-786-2284,https://www.mdoc.ms.gov/facilities/jeffersonfranklin-county-correctional-facility,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemper Neshoba Correctional Facility,State,Mississippi,DeKalb,39328,"374 Stennis Industrial Park Road
DeKalb, MS 39328","374 Stennis Industrial Park Road
DeKalb, MS 39328",(601)-743-5767,https://www.mdoc.ms.gov/facilities/kemperneshoba-county-regional-correctional-facility,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leake County Correctional Facility,State,Mississippi,Carthage,39051,"399 C. O. Brooks Street
Carthage, MS 39051","384 Goodman Rd E 217
South Haven, MS 38671",(601)-298-9003,https://www.mdoc.ms.gov/facilities/leake-county-correctional-facility,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion Walthall County Regional Correctional Facility,State,Mississippi,Columbia,39429,"503 South Main Street
Columbia, MS 39429","503 South Main Street
Columbia, MS 39429",(601)-736-3621,https://www.mdoc.ms.gov/facilities/marionwalthall-county-correctional-facility,https://www.mdoc.ms.gov/family-friends/sending-mail-to-an-inmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
