Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Community Corrections Center Lincoln,State,Nebraska,Lincoln,68542,"Community Corrections Center Lincoln
2720 West Van Dorn
Lincoln, NE 68542","Community Corrections Center Lincoln
P.O. Box 2200
Lincoln, NE 68542",(402)-471-0740,https://corrections.nebraska.gov/facilities/community-corrections-center-lincoln,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Corrections Center Omaha,State,Nebraska,Omaha,68110-2766,"Community Corrections Center Omaha
2320 Avenue J
Omaha, NE 68110-2766","​Community Corrections Center Omaha
2320 Avenue J
Omaha, NE 68110-2766",(402)-595-2010,https://corrections.nebraska.gov/facilities/community-corrections-center-omaha,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagnostic and Evaluation Center,State,Nebraska,Lincoln,68522-9284,"Diagnostic and Evaluation Center
3220 West Van Dorn Street
Lincoln, NE 68522-9284","​Diagnostic and Evaluation Center
PO Box 22800
Lincoln, NE 68542-2800",(402)-479-6343,https://corrections.nebraska.gov/facilities/reception-and-treatment-center,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Correctional Center Nebraska,State,Nebraska,Lincoln,68522,"Lincoln Correctional Center
3216 West Van Dorn St
Lincoln, NE 68522","Lincoln Correctional Center
P.O. Box 22800
Lincoln, NE 68522",(402)-479-6175,https://corrections.nebraska.gov/facilities/community-corrections-center-lincoln,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska Correctional Center for Women,State,Nebraska,York,68467-8003,"Nebraska Correctional Center for Women
1107 Recharge Rd
York, NE 68467-8003","​Nebraska Correctional Center for Women
1107 Recharge Rd
York, NE 68467-8003",(402)-362-3317,https://corrections.nebraska.gov/facilities/nebraska-correctional-center-women,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska Correctional Youth Facility,State,Nebraska,Omaha,68110,"Nebraska Correctional Youth Facility
2610 N 20th St East
Omaha, NE 68110","Nebraska Correctional Youth Facility
2610 N 20th St East
Omaha, NE 68110",(402)-595-2000,https://corrections.nebraska.gov/facilities/nebraska-correctional-center-women,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska State Penitentiary,State,Nebraska,Lincoln,68502,"Nebraska State Penitentiary
4201 South 14th Street
Lincoln, NE 68502","​Nebraska State Penitentiary
P.O. Box 2500
Lincoln, NE 68542-2500",(402)-471-3161,https://corrections.nebraska.gov/facilities/nebraska-correctional-center-women,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omaha Correctional Center,State,Nebraska,Omaha,68110-2766,"Omaha Correctional Center
2323 Avenue J
Omaha, NE 68110-2766","​Omaha Correctional Center
P.O. Box 11099
Omaha, NE 68110-2766",(402)-595-3964,https://corrections.nebraska.gov/facilities/omaha-correctional-center,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tecumseh State Correctional Institution,State,Nebraska,Tecumseh,68450,"Tecumseh State Correctional Institution
North Highway 50
Tecumseh, NE 68450","​Tecumseh State Correctional Institution
PO Box 900
Tecumseh, NE 68450",(402)-335-5998,https://corrections.nebraska.gov/facilities/tecumseh-state-correctional-institution,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work Ethic Camp,State,Nebraska,McCook,69001,"Work Ethic Camp
2309 N. Hwy 83
McCook, NE 69001","Work Ethic Camp
2309 N. Hwy 83
McCook, NE 69001",(308)-345-8405,https://corrections.nebraska.gov/facilities/work-ethic-camp,https://corrections.nebraska.gov/i-want/how-do-i-send-mail-money-books-photos-emails-e-cards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
