Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Adult Diagnostic and Treatment Center,State,New Jersey,Avenel,7001,"Adult Diagnostic and Treatment Center
8 Production Way
Avenel, New Jersey 07001","Adult Diagnostic and Treatment Center
PO Box 190
Avenel, NJ 07001",(732)-574-2250,https://www.prisonpro.com/content/adult-diagnostic-treatment-center#google_vignette,https://www.nj.gov/corrections/pages/StayingConnected.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert C. Wagner Youth Correctional Facility,State,New Jersey,Bordentown,8505,"Albert C. Wagner Youth Correctional Facility
Ward Avenue
Bordentown, New Jersey 08505","​Albert C. Wagner Youth Correctional Facility
P.O. Box 500
Bordentown, New Jersey 08505",(609)-298-0500,"Permanently closed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside State Prison,State,New Jersey,Leesburg,8327,"Bayside State Prison
4293 Rt. 47
Leesburg, New Jersey 08327","​Bayside State Prison
P.O. Box F-1
Leesburg, New Jersey 08327",(856)-785-0040,https://www.nj.gov/corrections/pages/index.shtml,https://www.nj.gov/corrections/pages/StayingConnected.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside State Prison,State,New Jersey,Leesburg,8327,"Bayside State Prison
4293 Rt. 47
Leesburg, New Jersey 08327","​Bayside State Prison
P.O. Box F-1
Leesburg, New Jersey 08327",(856)-785-0040,https://www.nj.gov/corrections/pages/index.shtml,https://www.nj.gov/corrections/pages/StayingConnected.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Reception and Assignment Facility,State,New Jersey,Trenton,8628,"Central Reception and Assignment Facility
Stuyvesant Avenue
Trenton, New Jersey 08628","​Central Reception and Assignment Facility
P.O. Box 7450
Trenton, New Jersey 08628-7450",(609)-984-6000,https://www.nj.gov/corrections/pages/index.shtml,https://www.nj.gov/corrections/pages/StayingConnected.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Jersey State Prison,State,New Jersey,Rahway,7065,"East Jersey State Prison
1100 Woodbridge Road
Rahway, NJ 07065","​East Jersey State Prison
Lock Bag R
Rahway, NJ 07065",(732)-499-5010,https://www.nj.gov/corrections/pages/index.shtml,https://www.nj.gov/corrections/pages/StayingConnected.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edna Mahan Correctional Facility for Women,State,New Jersey,Clinton,8809,"Edna Mahan Correctional Facility for Women
30 County Route 513
Clinton, New Jersey 08809","Edna Mahan Correctional Facility for Women
P.O. Box 4004
Clinton, New Jersey 08809",(908)-735-7111,https://www.nj.gov/governor/news/news/562023/20231101a.shtml,https://www.nj.gov/corrections/pages/StayingConnected.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid-State Correctional Facility,State,New Jersey,Fort Dix,8640,"Mid-State Correctional Facility
Dirt Road
Fort Dix, NJ 08640","​Mid-State Correctional Facility
P.O. Box 866
Wrightstown, New Jersey 08562",(609)-723-4221,https://www.nj.gov/corrections/pages/index.shtml,https://www.prisonpro.com/content/new-jersey-inmate-phonessending-money-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garden State Youth Correctional Facility,State,New Jersey,Crosswicks,8515,"Garden State Youth Correctional Facility
55 Hogback Rd
Crosswicks, NJ 08515","​Garden State Youth Correctional Facility
P.O. Box 11401
Yardville, New Jersey 08620",(609)-298-6300,https://www.prisonpro.com/content/new-jersey-inmate-phonessending-money-mail,https://www.prisonpro.com/content/new-jersey-inmate-phonessending-money-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid-State Correctional Facility,State,New Jersey,Fort Dix,8640,"Mid-State Correctional Facility
Dirt Road
Fort Dix, NJ 08640","Mid-State Correctional Facility
P.O. Box 866
Wrightstown, New Jersey 08562",(609)-723-4221,https://doccs.ny.gov/location/mid-state-correctional-facility,https://www.nj.gov/corrections/pages/StayingConnected.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
