Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Central New Mexico Correctional Facility,State,New Mexico,Los Lunas,87031,"Central New Mexico Correctional Facility
1525 Morris Road
Los Lunas, New Mexico 87031-1328","​Central New Mexico Correctional Facility
P.O. Drawer 1328
Los Lunas, New Mexico 87031-1328",(505)-865-1622,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/central-new-mexico-correctional-facility/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadalupe County Correctional Facility,State,New Mexico,Santa Rosa,88435,"Guadalupe County Correctional Facility
South Hwy. 54, Exit 3B
Santa Rosa, New Mexico 88435","​Guadalupe County Correctional Facility
P.O. Box 520
Santa Rosa, New Mexico 88435",(575)-472-1001,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/guadalupe-county-correctional-facility/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea County Correctional Facility,State,New Mexico,Hobbs,88244,"Lea County Correctional Facility
6900 West Millen
Hobbs, New Mexico 88244","​Lea County Correctional Facility
6900 West Millen
Hobbs, New Mexico 88244",(575)-392-4055,https://www.cd.nm.gov/updates-on-closure-of-lccf/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico Women's Correctional Facility,State,New Mexico,Grants,87020,"New Mexico Women's Correctional Facility
1700 East Old Highway 66
Grants, New Mexico 87020","​New Mexico Women's Correctional Facility
P.O. Box 800
Grants, New Mexico 87020",(505)-287-2941,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/western-new-mexico-correctional-facility/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast New Mexico Detention Facility,State,New Mexico,Clayton,88415,"Northeast New Mexico Detention Facility
185 Dr. Michael Jenkins Road
Clayton, New Mexico 88415","​Northeast New Mexico Detention Facility
P.O. Box 626
Clayton, New Mexico 88415",(575)-374-4005,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/northeast-new-mexico-correctional-facility/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otero County Prison Facility,State,New Mexico,Chaparral,88081,"Otero County Prison Facility
10 McGregor Range Road
Chaparral, NM 88081","​Otero County Prison Facility
10 McGregor Range Road
Chaparral, NM 88081",(575)-824-4884,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/otero-county-prison-facility/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penitentiary of New Mexico,State,New Mexico,Santa Fe,87504,"Penitentiary of New Mexico
4331 State Highway 14
Santa Fe, New Mexico 87504","​Penitentiary of New Mexico
P.O. Box 1059
Santa Fe, New Mexico 87504-1059",(505)-827-8201,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/penitentiary-of-new-mexico/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roswell Correctional Center,State,New Mexico,Hagerman,88232,"Roswell Correctional Center
578 W. Chickasaw Road
Hagerman, New Mexico 88232","Roswell Correctional Center
578 W. Chickasaw Road
Hagerman, New Mexico 88232",(575)-625-3100,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/penitentiary-of-new-mexico/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern New Mexico Correctional Facility,State,New Mexico,Las Cruces,88004,"Southern New Mexico Correctional Facility
1983 Joe R. Silva Boulevard
Las Cruces, New Mexico 88004-0639","​Southern New Mexico Correctional Facility
P.O. Box 639
Las Cruces, New Mexico 88004-063",(575)-523-3200,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/southern-new-mexico-correctional-facility/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springer Correctional Center,State,New Mexico,Springer,87747,"Southern New Mexico Correctional Facility
1983 Joe R. Silva Boulevard
Las Cruces, New Mexico 88004-0639","​Springer Correctional Center
P.O. Box 10
Springer, New Mexico 87747",(575)-483-3100,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/springer-correctional-center/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western New Mexico Correctional Facility,State,New Mexico,Grants,87020,"Western New Mexico Correctional Facility
2111 North Lobo Canyon Road
Grants, NM 87020","​Western New Mexico Correctional Facility
P.O. Drawer 250
Grants, NM 87020",(505)-876-8300,https://www.cd.nm.gov/divisions/adult-prisons/nmcd-prison-facilities/western-new-mexico-correctional-facility/,https://www.cd.nm.gov/wp-content/uploads/2023/11/CD-151200.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
