Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Adirondack Correctional Facility,State,New York ,Ray Brook,12977,"Adirondack Correctional Facility
196 Ray Brook Road
Ray Brook, New York 12977-0110","​Adirondack Correctional Facility
P.O. Box 110
Ray Brook, New York 12977-0110",(518)-891-1343,https://doccs.ny.gov/location/adirondack-correctional-facility,https://doccs.ny.gov/system/files/documents/2024/11/4911_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion Correctional Facility,State,New York ,Albion,14411,"Albion Correctional Facility
3595 State School Road
Albion, New York 14411-9399","Albion Correctional Facility
3595 State School Road
Albion, New York 14411-9399",(585)-589-5511,https://doccs.ny.gov/location/albion-correctional-facility,https://doccs.ny.gov/system/files/documents/2024/11/4911_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altona Correctional Facility,State,New York ,Altona,12910,"Altona Correctional Facility
555 Devils Den Road
Altona, New York 12910-2090","​Altona Correctional Facility
P.O. Box 3000
Altona, New York 12910-2090",(518)-236-7841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attica Correctional Facility,State,New York ,Attica,14011,"Attica Correctional Facility
639 Exchange St
Attica, New York 14011-0149","Attica Correctional Facility
639 Exchange St
Attica, New York 14011-0149",(585)-591-2000,https://doccs.ny.gov/location/attica-correctional-facility,https://doccs.ny.gov/system/files/documents/2024/11/4911_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bedford Hills Correctional Facility",State,New York ,Bedford Hills,10507,"Bedford Hills Correctional Facility
247 Harris Road
Bedford Hills, New York 10507-2400","Bedford Hills Correctional Facility
247 Harris Road
Bedford Hills, New York 10507-2400",(914)-241-3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Vincent Correctional Facility,State,New York ,Cape Vincent,13618,"Cape Vincent Correctional Facility
36560 State Route 12E
Cape Vincent, New York 13618-0599","Cape Vincent Correctional Facility
P.O. Box 599
Cape Vincent, New York 13618-0599",(315)-654-4100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayuga Correctional Facility,State,New York ,Moravia,13118,"Cayuga Correctional Facility
2202 State Route 38A
Moravia, New York 13118-1150","​Cayuga Correctional Facility
P.O. Box 1186
Moravia, New York 13118",(315)-497-1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton Correctional Facility,State,New York ,Dannemora,12929,"Clinton Correctional Facility
1156 Rt. 374
Dannemora, New York 12929

Clinton Annex
1074 Rt. 374
Dannemora, New York 12929","Clinton Correctional Facility
P.O. Box 2001
Dannemora, New York 12929

Clinton Annex
P.O. Box 2002
Dannemora, New York 12929",(518)-492-2511,https://doccs.ny.gov/location/clinton-correctional-facility,https://doccs.ny.gov/system/files/documents/2024/11/4911_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collins Correctional Facility,State,New York ,Collins,14034,"Collins Correctional Facility
Middle Road
Collins, New York 14034-0490","Collins Correctional Facility
P.O. Box 340
Collins, New York 14034-0340",(716)-532-4588,https://doccs.ny.gov/location/collins-correctional-facility,https://doccs.ny.gov/system/files/documents/2024/11/4911_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coxsackie Correctional Facility,State,New York ,Coxsackie,12051,"Coxsackie Correctional Facility
11260 Route 9W
Coxsackie, New York 12051-0200","Coxsackie Correctional Facility
P.O. Box 999
Coxsackie, New York 12051-0999
",(518)-731-2781,https://doccs.ny.gov/location/coxsackie-correctional-facility,https://doccs.ny.gov/system/files/documents/2024/11/4911_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
