Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Albemarle Correctional Institution,State,North Carolina,New London,28127,"Albemarle Correctional Institution
44150 Airport Road
New London, NC 28127","​Albemarle Correctional Institution
P.O. Box 460
Badin, NC 28009",(704)-422-3036,https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/albemarle-correctional-institution,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Correctional Institution,State,North Carolina,Taylorsville,28681,"Alexander Correctional Institution
633 Old Landfill Road
Taylorsville, NC 28681","Alexander Correctional Institution
633 Old Landfill Road
Taylorsville, NC 28681",(828)-632-1331,https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/alexander-correctional-institutionn,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Mitchell Correctional Institution,State,North Carolina,Spruce Pine,28777,"Avery Mitchell Correctional Institution
600 Amity Park Road 
Spruce Pine, NC 28777","​Avery Mitchell Correctional Institution
600 Amity Park Road 
Spruce Pine, NC 28777",(828)-765-0229,https://www.dac.nc.gov/,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertie Correctional Institution,State,North Carolina,Windsor,27983,"Bertie Correctional Institution
218 Cooper Hill Road
Windsor, NC 27983","​Bertie Correctional Institution
P.O. Box 129 
Windsor, NC 27983",(252)-794-8600,https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/bertie-correctional-institution,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Creek Correctional Institution,State,North Carolina,Polkton,28135,"Brown Creek Correctional Institution
248 Prison Camp Road
Polkton, NC 28135","Brown Creek Correctional Institution
P.O. Box 310 
Polkton, NC 28135",(704)-694-2622,https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/brown-creek-correctional-institution,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell Correctional Center,State,North Carolina,"Lenoir,",28645,"Caldwell Correctional Center
480 Pleasant Hill Road
Lenoir, NC 28645","Caldwell Correctional Center
480 Pleasant Hill Road
Lenoir, NC 28645",(828)-726-2509,https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/caldwell-correctional-center,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caledonia Correctional Institution,State,North Carolina,Tillery,27887,"Caledonia Correctional Institution
2787 Caledonia Drive
Tillery, NC 27887","​Caledonia Correctional Institution
P.O. Box 137
Tillery, NC 27887","
(252)-826-5621",https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/roanoke-river-correctional-institution,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carteret Correctional Center,State,North Carolina,Newport,28570,"Carteret Correctional Center
1084 Orange Street
Newport, NC 28570","Carteret Correctional Center
P.O. Box 220
Newport, NC 28570",(252)-223-5100,https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/carteret-correctional-center,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caswell Correctional Center,State,North Carolina,Blanch,Blanch,"Caswell Correctional Center
444 County Home Road 
Blanch, NC 27212","Caswell Correctional Center
P.O. Box 217
Yanceyville, NC 27379",(336)-694-4531,https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/caswell-correctional-center,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catawba Correctional Center,State,North Carolina,Newton,28658,"Catawba Correctional Center
1347 Prison Camp Road
Newton, NC 28658","​Catawba Correctional Center
1347 Prison Camp Road
Newton, NC 28658",(828)-466-5521,https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/catawba-correctional-center,https://www.dac.nc.gov/divisions-and-sections/institutions/offender-mail#HowdoIsendbooksmagazinesnewspapersetc-6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
