Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Allen Oakwood Correctional Institution,State,Ohio,Lima,45801,"Allen Oakwood Correctional Institution
2338 North West Street
Lima, Ohio 45801","​Allen Oakwood Correctional Institution
P.O. Box 4501
Lima, Ohio 45801",(419)-224-8000,https://drc.ohio.gov/about/facilities/allen-oakwood/allen-oakwood,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont Correctional Institution,State,Ohio,St. Clairsville,43950,"Belmont Correctional Institution
68518 Bannock Road
St. Clairsville, Ohio 43950","Belmont Correctional Institution
P.O. Box 540
St. Clairsville, Ohio 43950",(740)-695-5169,https://drc.ohio.gov/beci,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chillicothe Correctional Institution,State,Ohio,Chillicothe,45601,"Chillicothe Correctional Institution
15802 State Route 104 North
Chillicothe, OH 45601","Chillicothe Correctional Institution
P. O. Box 5500
Chillicothe, OH 45601",(740)-774-7080,https://drc.ohio.gov/about/facilities/chillicothe-correctional-cci,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correctional Reception Center,State,Ohio,Orient,43146,"Correctional Reception Center
11271 State Route 762
Orient, Ohio 43146","​Correctional Reception Center
P.O. Box 300
Orient, Ohio 43146",(614)-877-2441,https://drc.ohio.gov/about/facilities/correctional-reception-center,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton Correctional Institution,State,Ohio,Dayton,45417,"Dayton Correctional Institution
4104 Germantown Street
Dayton, Ohio 45417","​Dayton Correctional Institution
P.O. Box 17399
Dayton, Ohio 45417",(937)-263-0060,https://drc.ohio.gov/about/facilities/dayton-correctional,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin Medical Center,State,Ohio,Columbus,43223,"Franklin Medical Center
1990 Harmon Ave
Columbus, Ohio 43223","​Franklin Medical Center
P.O. Box 23658
Columbus, Ohio 43223",(614)-445-5960,https://drc.ohio.gov/about/facilities/franklin-medical-center,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafton Correctional Institution,State,Ohio,Grafton,44044,"Grafton Correctional Institution
2500 South Avon Belden Road
Grafton, Ohio 44044","Grafton Correctional Institution
2500 South Avon Belden Road
Grafton, Ohio 44044",(440)-748-1161,https://drc.ohio.gov/about/facilities/grafton-correctional,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Erie Correctional Institution,State,Ohio,Conneaut,44030,"Lake Erie Correctional Institution
501 Thompson Road
Conneaut, Ohio 44030","​Lake Erie Correctional Institution
P.O. Box 8000
Conneaut, Ohio 44030",(440)-599-4100,https://drc.ohio.gov/about/facilities/lake-erie-correctional,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon Correctional Institution,State,Ohio,Lebanon,45036,"Lebanon Correctional Institution
3791 State Route 63
Lebanon, Ohio 45036","​Lebanon Correctional Institution
P.O. Box 56
Lebanon, Ohio 45036",(513)-932-1211,https://drc.ohio.gov/about/facilities/lebanon-correctional,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Correctional Institution,State,Ohio,London,43140,"London Correctional Institution
1580 State Route 56
London, Ohio 43140","London Correctional Institution
P.O. Box 69
London, Ohio 43140",(740)-852-2454,https://drc.ohio.gov/about/facilities/london-correctional,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorain Correctional Institution,State,Ohio,Grafton,44044,"Lorain Correctional Institution
2075 South Avon-Belden Road
Grafton, Ohio 44044","​Lorain Correctional Institution
2075 South Avon-Belden Road
Grafton, Ohio 44044",(440)-748-1049,https://drc.ohio.gov/about/facilities/lorain-correctional,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Correctional Institution Ohio,State,Ohio,London,43140,"Madison Correctional Institution
1851 State Route 56
London, Ohio 43140","Madison Correctional Institution
P.O. Box 740
London, Ohio 43140",(740)-852-9777,https://drc.ohio.gov/about/facilities/madison-correctional,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield Correctional Institution,State,Ohio,Mansfield,44901,"Mansfield Correctional Institution
1150 North Main Street
Mansfield, Ohio 44901","​Mansfield Correctional Institution
P.O. Box 788
Mansfield, Ohio 44901",(419)-525-4455,https://drc.ohio.gov/about/facilities/mansfield-correctional,https://drc.ohio.gov/visitation/general-mail-and-email/general-mail-and-email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
