Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
"Charles E. ""Bill"" Johnson Correctional Center",State,Oklahoma,Alva,73717-3005,"1856 E. Flynn Street
Alva, Oklahoma 73717-3005","1856 E. Flynn Street
Alva, Oklahoma 73717",(580)-327-8000,https://oklahoma.gov/doc/facilities.html#accordion-408e288960-item-12f4efa130,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cimarron Correctional Facility,State,Oklahoma,Cushing,74023,"3200 South Kings Highway
Cushing, OK 74023","3200 South Kings Highway
Cushing, OK 74023",(918)-225-3336,https://www.ice.gov/detain/detention-facilities/cimarron-correctional-facility,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clara Waters Community Corrections Center,State,Oklahoma,Oklahoma City,73131-5228,"9901 N I-35 Service Road
Oklahoma City, OK 73131-5228","9901 N I-35 Service Road
Oklahoma City, OK 73131-5228",(405)-254-3200,https://oklahoma.gov/doc/facilities.html#accordion-408e288960-item-f5bccc784d,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Gamble Correctional Center,State,Oklahoma,Holdenville,74848-9033,"6888 East 133rd Road
Holdenville, OK 74848-9033","6888 East 133rd Road
Holdenville, OK 74848-9033",(405)-379-6400,https://oklahoma.gov/doc/facilities.html#accordion-408e288960-item-ff6a3f719f,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick Conner Correctional Center,State,Oklahoma,Hominy,74035,"129 Conner Road
Hominy, OK 74035","Dick Conner Correctional Center
129 Conner Road, Hominy, OK 74035",(918)-594-1300,https://oklahoma.gov/doc/facilities.html#accordion-408e288960-item-3b9913814d,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Eddie Warrior Correctional Center,State,Oklahoma,Taft,74463-0315,"601 N. Oak Street, 
Taft, OK  74463
","601 N. Oak Street, 
Taft, OK  74463
",(918)-683-8365,https://oklahoma.gov/doc/facilities.html#accordion-408e288960-item-622331c413,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enid Community Corrections Center,State,Oklahoma,Enid,73701-6445,"2020 E. Maine Avenue
Enid, OK 73701-6445","2020 E. Maine Avenue
Enid, OK 73701-6445",(580)-977-3800,https://oklahoma.gov/doc/facilities.html#accordion-408e288960-item-11d882bb74,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard McLeod Correctional Center,State,Oklahoma,Atoka,74525-8415,"19603 E Whippoorwill Lane, 
Atoka, OK 74525
","19603 E Whippoorwill Lane, 
Atoka, OK 74525
",(580)-889-6651,https://oklahoma.gov/doc/facilities.html#accordion-408e288960-item-cec16c8c6f,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Brannon Correctional Center,State,Oklahoma,McAlester,74502,"900 N. West Street
McAlester, OK 74502","​900 N. West Street, 
McAlester, OK  74502
",(918)-421-3339,https://oklahoma.gov/doc/facilities.html#accordion-408e288960-item-73b7653d26,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Crabtree Correctional Center,State,Oklahoma,Helena,73741-1017,"216 North Murray Street
Helena, OK 73741-1017","216 North Murray Street
Helena, OK 73741-1017",(580)-852-3221,https://oklahoma.gov/doc/facilities.html#accordion-408e288960-item-991bc63b34,https://oklahoma.gov/content/dam/ok/en/doc/documents/policy/section-03/op030117.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
