Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Coffee Creek Correctional Facility,State,Oregon,Wilsonville,97070,"Coffee Creek Correctional Facility
24499 SW Grahams Ferry Road, Suite U
Wilsonville, OR 97070","​Coffee Creek Correctional Facility
24499 SW Grahams Ferry Road, Suite U
Wilsonville, OR 97070",(503)-570-6400,https://www.oregon.gov/doc/about/pages/prison-locations.aspx,https://www.oregon.gov/doc/contact-inmate/Pages/Publications.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia River Correctional Institution,State,Oregon,"Portland,",97211-1799,"Columbia River Correctional Institution
9111 NE Sunderland Avenue 
Portland, Oregon 97211-1799","​Columbia River Correctional Institution
9111 NE Sunderland Avenue 
Portland, Oregon 97211-1799",(503)-280-6646 ext. 241,https://www.oregon.gov/doc/about/pages/prison-locations.aspx,https://www.oregon.gov/doc/contact-inmate/Pages/Publications.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer Ridge Correctional Institution,State,Oregon,Madras,97741,"Deer Ridge Correctional Institution
3920 East Ashwood Road 
Madras, Oregon 97741","Deer Ridge Correctional Institution
3920 East Ashwood Road 
Madras, Oregon 97741",(541)-325-5999,https://www.oregon.gov/doc/about/pages/prison-locations.aspx,https://www.oregon.gov/doc/contact-inmate/Pages/Publications.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Oregon Correctional Institution,State,Oregon,Pendleton,97801-9699,"Eastern Oregon Correctional Institution
2500 Westgate
Pendleton, Oregon 97801-9699","​Eastern Oregon Correctional Institution
2500 Westgate
Pendleton, Oregon 97801-9699",(541)-276-0700,https://www.oregon.gov/doc/about/pages/prison-locations.aspx,https://www.oregon.gov/doc/contact-inmate/Pages/Publications.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mill Creek Correctional Facility,State,Oregon,Salem,97317,"Mill Creek Correctional Facility
5465 Turner Road SE
Salem, Oregon 97317","​Mill Creek Correctional Facility
2605 State Street
Salem, Oregon 97310-0505 ",(503)-378-2600,https://www.oregonencyclopedia.org/articles/mill-creek-correctional-facility/,permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon State Correctional Institution,State,Oregon,Salem,97310-9385,"Oregon State Correctional Institution
3405 Deer Park Drive SE 
Salem, Oregon 97310-9385","Oregon State Correctional Institution
3405 Deer Park Drive SE 
Salem, Oregon 97310-9385",(503)-373-0125,https://www.oregon.gov/doc/about/pages/prison-locations.aspx,https://www.oregon.gov/doc/contact-inmate/Pages/Publications.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon State Penitentiary,State,Oregon,Salem,97310-0505,"Oregon State Penitentiary
2605 State Street 
Salem, Oregon 97310-0505","Oregon State Penitentiary
2605 State Street 
Salem, Oregon 97310-0505",(503)-378-2453,https://www.oregon.gov/doc/about/pages/prison-locations.aspx,https://www.oregon.gov/doc/contact-inmate/Pages/Publications.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powder River Correctional Facility,State,Oregon,Baker City, 97814-1346,"Powder River Correctional Facility
3600 13th Street
Baker City, Oregon 97814-1346","Powder River Correctional Facility
3600 13th Street
Baker City, Oregon 97814-1346",(541)-523-6680,https://www.oregon.gov/doc/about/pages/prison-locations.aspx,https://www.oregon.gov/doc/contact-inmate/Pages/Publications.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiam Correctional Institution,State,Oregon,Salem,97317,"Santiam Correctional Institution
4005 Aumsville Hwy SE 
Salem, Oregon 97317","​Santiam Correctional Institution
4005 Aumsville Hwy SE 
Salem, Oregon 97317",(503)-378-2144,https://www.oregon.gov/doc/about/pages/prison-locations.aspx,https://www.oregon.gov/doc/contact-inmate/Pages/Publications.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shutter Creek Correctional Institution,State,Oregon,North Bend,97459-0303,"Shutter Creek Correctional Institution
95200 Shutters Landing Lane
North Bend, Oregon 97459-0303","​Shutter Creek Correctional Institution
95200 Shutters Landing Lane
North Bend, Oregon 97459-0303",(541)-756-6666,prisonpro.com/content/shutter-creek-correctional-institution,permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
