Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Albion State Correctional Institution,State,Pennsylvania,Albion,16475-0001,"SCI Albion
10745 Route 18
Albion, PA 16475-0001","268 Bricker Rd
Bellefonte, PA 16823",(814)-756-5778,https://www.pa.gov/agencies/cor/state-prisons/sci-albion,https://www.pa.gov/agencies/cor/find-or-contact-inmate/mail-rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benner Township State Correctional Institution,State,Pennsylvania,Bellefonte,16823,"Benner Township State Correctional Institution
301 Institution Drive
Bellefonte, PA 16823","268 Bricker Rd
Bellefonte, PA 16823",(814)-353-3630,https://www.pa.gov/agencies/cor/state-prisons/sci-benner-twp,https://www.pa.gov/agencies/cor/find-or-contact-inmate/mail-rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge Springs State Correctional Institution,State,Pennsylvania,Cambridge Springs,16043-1238,"Cambridge Springs State Correctional Institution
451 Fullerton Avenue
Cambridge Springs, PA 16043-1238","
268 Bricker Rd
Bellefonte, PA 16823
Turn",(814)-398-5400,https://www.pa.gov/agencies/cor/state-prisons/sci-cambridge-springs,https://www.pa.gov/agencies/cor/find-or-contact-inmate/mail-rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camp Hill State Correctional Institution,State,Pennsylvania,Camp Hill,17001,"Camp Hill State Correctional Institution
2500 Lisburn Road
Camp Hill, PA 17001","
268 Bricker Rd
Bellefonte, PA 16823
Turn",(717)-737-4531,https://www.pa.gov/agencies/cor/state-prisons/sci-camp-hill,https://www.pa.gov/agencies/cor/find-or-contact-inmate/mail-rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal Township State Correctional Institution,State,Pennsylvania,Coal Township,17866-1020,"Coal Township State Correctional Institution
1 Kelley Drive
Coal Township, PA 17866-1020","
268 Bricker Rd
Bellefonte, PA 16823
Turn",(570)-644-7890,https://www.pa.gov/agencies/cor/state-prisons/sci-coal-township,https://www.pa.gov/agencies/cor/find-or-contact-inmate/mail-rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas State Correctional Institution,State,Pennsylvania,Dallas,18612,"Dallas State Correctional Institution
1000 Follies Rd
Dallas, PA 18612","268 Bricker Rd
Bellefonte, PA 16823
Turn",(570)-675-1101,https://www.pa.gov/agencies/cor/state-prisons/sci-dallas,https://www.pa.gov/agencies/cor/find-or-contact-inmate/mail-rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fayette State Correctional Institution,State,Pennsylvania,LaBelle,15450,"Fayette State Correctional Institution
50 Overlook Drive
LaBelle, PA 15450","268 Bricker Rd
Bellefonte, PA 16823
Turn",(724)-364-2200,https://www.pa.gov/agencies/cor/state-prisons/sci-fayette,https://www.pa.gov/agencies/cor/find-or-contact-inmate/mail-rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest State Correctional Institution,State,Pennsylvania,Marienville,16239,"Forest State Correctional Institution
286 Woodland Drive
Marienville, PA 16239","268 Bricker Rd
Bellefonte, PA 16823
Turn",(814)-621-2110,https://www.pa.gov/agencies/cor/state-prisons/sci-forest,https://www.pa.gov/agencies/cor/find-or-contact-inmate/mail-rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frackville State Correctional Insitution,State,Pennsylvania,Frackville,17931-2699,"Frackville State Correctional Institution
1111 Altamont Boulevard
Frackville, PA 17931-2699","​
268 Bricker Rd
Bellefonte, PA 16823
Turn",(570)-874-4516,https://www.pa.gov/agencies/cor,https://www.pa.gov/agencies/cor/find-or-contact-inmate/mail-rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graterford State Correctional Institution,State,Pennsylvania,Graterford,19426,"Graterford State Correctional Institution
Graterford Road
Graterford, PA 19426",​,(610)-489-4151,permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
