Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Allendale Correctional Institution,State,South Carolina,Fairfax,29827,"1057 Revolutionary Trail
Fairfax, SC 29827","P.O. Box 1151
Fairfax, SC 29827","(803)-632-2561
(803)-734-0653",https://www.doc.sc.gov/institutions,https://www.doc.sc.gov/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Broad River Correctional Institution",State,South Carolina,Columbia,29210,"4460 Broad River Road
Columbia, SC 29210","4460 Broad River Road
Columbia, SC 29210","Telephone:
(803)-896-2234",https://www.doc.sc.gov/institutions,https://www.doc.sc.gov/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catawba Pre-Release Center,State,South Carolina,Rock Hil,29730,"1030 Milling Road
Rock Hill, SC 29730","1030 Milling Road
Rock Hill, SC 29730","(803)-324-5361
(803)-734-9946",permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Evans Correctional Institution
",State,South Carolina,Rock Hill,29730,"1030 Milling Road
Rock Hill, SC 29730","1030 Milling Road
Rock Hill, SC 29730","(803)-324-5361
(803)-734-9946",https://www.doc.sc.gov/institutions,https://www.doc.sc.gov/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodman Correctional Institution,State,South Carolina,Columbia,29210,"4556 Broad River Road
Columbia, SC 29210","4556 Broad River Road
Columbia, SC 29210",(803)-896-8565,https://www.doc.sc.gov/institutions,https://www.doc.sc.gov/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham (Camille Griffin) Correctional Institution,State,South Carolina,Columbia,29210-4096,"4450 Broad River Road
Columbia, SC 29210-4096
","4450 Broad River Road
Columbia, SC 29210-4096",(803)-896-8590,https://www.doc.sc.gov/institutions,https://www.doc.sc.gov/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kershaw Correctional Institution,State,South Carolina,Kershaw,29067,"4848 Gold Mine Highway
Kershaw, SC 29067","4848 Gold Mine Highway
Kershaw, SC 29067","(803)-896-3301
(803)-475-5770",https://www.doc.sc.gov/institutions,https://www.doc.sc.gov/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirkland Reception and Evaluation Center,State,South Carolina,Columbia,29210,"4344 Broad River Road
Columbia, SC 29210","4344 Broad River Road
Columbia, SC 29210",(803)-896-1521,https://www.doc.sc.gov/institutions,https://www.doc.sc.gov/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leath Correctional Institution,State,South Carolina,Greenwood,29649,"2809 Airport Road
Greenwood, SC 29649","2809 Airport Road
Greenwood, SC 29649","(864)-229-5709
(803)-896-1000",https://www.doc.sc.gov/institutions,https://www.doc.sc.gov/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Correctional Institution,State,South Carolina,Bishopville,29210,"990 Wisacky Highway
Bishopville, SC 29010","990 Wisacky Highway
Bishopville, SC 29010","(803)-896-2400
(803)-428-2800",https://www.doc.sc.gov/institutions,https://www.doc.sc.gov/family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
