Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Aurora Plains Academy,State,South Dakota,Plankinton,57368-2033,"1400 East 10th Street
Plankinton, SD 57368-2033","1400 East 10th Street
Plankinton, SD 57368-2033",(605)-942-5437,https://auroraplains.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Annex,State,South Dakota,Sioux Falls,Sioux Falls,"1600 North Drive
Sioux Falls, SD 57117","P.O. Box 5911
Sioux Falls, SD 57117",(605)-367-5120,https://www.doc.sd.gov/adult-corrections/facilities/jameson-annex,https://www.doc.sd.gov/adult-corrections/visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Durfee State Prison,State,South Dakota,Springfield,57062,"1412 Wood Street
Springfield, SD 57062
","1412 Wood Street
Springfield, SD 57062",(605)-369-2201,https://docadultlookup.sd.gov/adult/facilities/mdsp/,https://www.doc.sd.gov/adult-corrections/visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Henry Brady Academy,State,South Dakota,Custer,7730,"12279 Brady Drive
Custer, SD 57730","12279 Brady Drive
Custer, SD 57730",(605)-673-2521,https://www.prisonpro.com/content/patrick-henry-brady-academy,https://www.prisonpro.com/content/south-dakota-inmate-phonessending-money-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUEST,State,South Dakota,Custer,57730,"25298 Badger Clark Road
Custer, SD 57730","25298 Badger Clark Road
Custer, SD 57730",(605)-255-4835,https://www.questdiagnostics.com/,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid City Minimum Unit,State,South Dakota,Rapid City,57703,"2725 Creek Drive
Rapid City, SD 57703","2725 Creek Drive
Rapid City, SD 57703",(605)-394-5294,https://www.doc.sd.gov/adult-corrections/facilities/rapid-city-minimum-center,https://www.doc.sd.gov/adult-corrections/visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota State Penitentiary,State,South Dakota,Sioux Falls,57117,"1600 North Drive
Sioux Falls, SD 57117","P.O. Box 5911
Sioux Falls, SD 57117",(605)-367-5051,https://www.doc.sd.gov/adult-corrections/facilities/south-dakota-state-penitentiary,https://www.doc.sd.gov/adult-corrections/visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR Academy,State,South Dakota,Custer,57730,"STAR Academy
12279 Brady Drive
Custer, SD 57730","​STAR Academy
12279 Brady Drive
Custer, SD 57730",(605)-673-2521,Permanently closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota Women's Prison,State,South Dakota,Pierre,57501,"3200 East Highway 34
Pierre, SD 57501","500 E Capitol Ave, 
Pierre, SD 57501",(605)-773-6636,https://www.doc.sd.gov/adult-corrections/facilities/south-dakota-women-s-prison,https://www.doc.sd.gov/adult-corrections/visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yankton Minimum Unit,State,South Dakota,Yankton,57078,"178 Mickelson Drive
Yankton, SD 57078","178 Mickelson Drive
Yankton, SD 57078",(605)-668-3355,https://www.doc.sd.gov/adult-corrections/facilities/yankton-minimum-center,https://www.doc.sd.gov/adult-corrections/visitors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youth Challenge Center,State,South Dakota,Custer,57730,"12279 Brady Drive
Custer, SD 57730","12279 Brady Drive
Custer, SD 57730",(605)-673-2521,prisonpro.com/content/youth-challenge-center,https://www.prisonpro.com/content/south-dakota-inmate-phonessending-money-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
