Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Bledsoe County Correctional Complex,State,Tennessee,Pikeville,37367,"1045 Horsehead Road
Pikeville, Tennessee 37367","1045 Horsehead Road
Pikeville, Tennessee 37367",(423)-881-3251,https://www.tn.gov/correction/state-prisons/state-prison-list/bledsoe-count-correctional-complex.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardeman County Correctional Facility,State,Tennessee,Whiteville,38075,"2520 Union Springs Road
Whiteville, Tennessee 38075","P.O. Box 549
Whiteville, Tennessee 38075",(731)-254-6000,https://www.tn.gov/correction/state-prisons/state-prison-list/hardeman-county-correctional-facility.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lois M. DeBerry Special Needs Facility,State,Tennessee,Nashville,37209-1057,"7575 Cockrill Bend Boulevard
Nashville, Tennessee 37209-1057","7575 Cockrill Bend Boulevard
Nashville, Tennessee 37209-1057",(615)-350-2700,https://www.tn.gov/correction/state-prisons/state-prison-list/lois-m-deberry-special-needs-facility.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark H. Luttrell Correctional Center,State,Tennessee,Memphis,38134,"6000 State Road
Memphis, Tennessee 38134","6000 State Road
Memphis, Tennessee 38134",(901)-372-2080,https://www.tn.gov/correction/state-prisons/state-prison-list/mark-luttrell-transition-center.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan County Correctional Complex,State,Tennessee,Wartburg,37887,"541 Wayne Cotton Morgan Drive
Wartburg, Tennessee 37887
","P.O. Box 2000
Wartburg, Tennessee 37887",(423)-346-1300,https://www.tn.gov/correction/state-prisons/state-prison-list/morgan-county-correctional-complex.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Correctional Complex and Annex,State,Tennessee,Mountain City,37683,"5249 Highway 67 West
Mountain City, Tennessee 37683","P.O. Box 5000
Mountain City, Tennessee 37683-5000",(423)-727-7387,https://www.tn.gov/correction/state-prisons/state-prison-list/northeast-correctional-complex.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Correctional Complex,State,Tennessee,Tiptonville,38079,"960 State Route 212
Tiptonville, Tennessee 38079","960 State Route 212
Tiptonville, Tennessee 38079",(731)-253-5000,https://www.tn.gov/correction/state-prisons/state-prison-list/northwest-correctional-complex.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbend Maximum Security Institution,State,Tennessee,Nashville,37243-0471,"7475 Cockrill Bend Boulevard
Nashville, Tennessee 37243-0471","7475 Cockrill Bend Boulevard
Nashville, Tennessee 37209-1048",(615)-350-3100,https://www.tn.gov/correction/state-prisons/state-prison-list/riverbend-maximum-security-institution.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Central Correctional Facility,State,Tennessee,Clifton,38425,"555 Forest Avenue
Clifton, Tennessee 38425","P.O. Box 279
Clifton, Tennessee 38425-0279",(931)-676-5372,https://www.tn.gov/correction/state-prisons/state-prison-list/south-central-correctional-facility.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Prison for Women,State,Tennessee,Nashville,37243-0468,"3881 Stewarts Lane
Nashville, Tennessee 37243-0468","3881 Stewarts Lane
Nashville, Tennessee 37218-3302",(615)-741-1255,https://www.tn.gov/correction/state-prisons/state-prison-list/debra-k--johnson-rehabilitation-center.html,https://www.tn.gov/content/dam/tn/correction/documents/507-02.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
