Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Allred Unit,State,Texas,Iowa Park,76367,"2101 FM 369 North
Iowa Park, TX 76367","2101 FM 369 North
Iowa Park, TX 76367",(940) 855-7477,https://www.tdcj.texas.gov/unit_directory/ja.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartlett State Jail,State,Texas,Bartlett,76511,"1018 Arnold Drive
Bartlett, TX 76511","1018 Arnold Drive
Bartlett, TX 76511",(254)-527-3300,https://www.tdcj.texas.gov/unit_directory/bl.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beto Unit,State,Texas,Tennessee Colony,75880,"1391 FM 3328
Tennessee Colony, TX 75880","1391 FM 3328
Tennessee Colony, TX 75880",(903)-928-2217 ,https://www.tdcj.texas.gov/unit_directory/b.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd Unit,State,Texas,Teague,75860-2007,"200 Spur 113
Teague, TX 75860-2007","200 Spur 113
Teague, TX 75860-2007",(254)-739-5555,https://www.tdcj.texas.gov/unit_directory/by.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Bradshaw State Jail,State,Texas,Henderson,75653,"3900 West Loop 571 North
Henderson, TX 75653","P.O. Box 9000
Henderson, TX 75653-9000",(903)-655-0880,https://www.tdcj.texas.gov/unit_directory/bh.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgeport Correctional Center Texas,State,Texas,Bridgeport,76426,"4000 North Tenth Street
Bridgeport, TX 76426","4000 North Tenth Street
Bridgeport, TX 76426",(940)-683-3010,https://www.tdcj.texas.gov/unit_directory/br.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briscoe Unit,State,Texas,Dilley,78017,"1459 West Highway 85
Dilley, TX 78017","1459 West Highway 85
Dilley, TX 78017",(830)-965-4444 ,https://www.tdcj.texas.gov/unit_directory/db.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byrd Unit,State,Texas,Huntsville,77320,"21 FM 247
Huntsville, TX 77320","21 FM 247
Huntsville, TX 77320",(936)-295-5768,https://www.tdcj.texas.gov/unit_directory/du.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemens Unit,State,Texas,Brazoria,77422,"11034 Hwy 36
Brazoria, TX 77422
","11034 Hwy 36
Brazoria, TX 77422",(979)-798-2188,https://www.tdcj.texas.gov/unit_directory/cn.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clements Unit,State,Texas,Amarillo,79107-9606,"9601 Spur 591
Amarillo, TX 79107-9606","9601 Spur 591
Amarillo, TX 79107-9606",(806)-381-7080,https://www.tdcj.texas.gov/unit_directory/bc.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oliver J. Bell Unit
",State,Texas,Cleveland,77328,"901 East Fifth Street
Cleveland, TX 77328","P.O. Box 1678
Cleveland, TX 77328",(281)-592-9559,https://www.tdcj.texas.gov/unit_directory/cv.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffield Unit,State,Texas,Tennessee Colony,75884,"2661 FM 2054
Tennessee Colony, TX 75884","2661 FM 2054
Tennessee Colony, TX 75884",(903)-928-2211,https://www.tdcj.texas.gov/unit_directory/co.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cole Unit
",State,Texas,Bonham,75418,"3801 Silo Road
Bonham, TX 75418","3801 Silo Road
Bonham, TX 75418",(903)-583-1100,https://www.tdcj.texas.gov/unit_directory/cl.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connally Unit,State,Texas,Kenedy,78119,"899 FM 632
Kenedy, TX 78119","899 FM 632
Kenedy, TX 78119",(830)-583-4003 ,https://www.tdcj.texas.gov/unit_directory/cy.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotulla Unit,State,Texas,Cotulla,78014,"610 FM 624
Cotulla, TX 78014","610 FM 624
Cotulla, TX 78014",(830)-879-3077,https://www.tdcj.texas.gov/unit_directory/n4.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crain Unit,State,Texas,Gatesville,76599-2999,"1401 State School Road
Gatesville, TX 76599-2999","1401 State School Road
Gatesville, TX 76599-2999",(254)-865-8431,https://www.tdcj.texas.gov/unit_directory/gv.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalhart Unit,State,Texas,Dalhart,79022,"11950 FM 998
Dalhart, TX 79022","11950 FM 998
Dalhart, TX 79022",(806)-249-8655 ,https://www.tdcj.texas.gov/unit_directory/dh.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Unit,State,Texas,Snyder,79549,"938 South FM 1673
Snyder, TX 79549","938 South FM 1673
Snyder, TX 79549",(325)-573-1114 ,https://www.tdcj.texas.gov/unit_directory/dl.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Memorial Unit,State,Texas,Rosharon,77583,"59 Darrington Road
Rosharon, TX 77583","59 Darrington Road
Rosharon, TX 77583",(281)-595-3465 ,https://www.tdcj.texas.gov/unit_directory/da.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diboll Unit,State,Texas,Diboll,75941,"1604 South First Street
Diboll, TX 75941""","1604 South First Street
Diboll, TX 75941",(936)-829-2295,https://www.tdcj.texas.gov/unit_directory/do.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominguez State Jail,State,Texas,San Antonio,78252-2202,"6535 Cagnon Road
San Antonio, TX 78252-2202","6535 Cagnon Road
San Antonio, TX 78252-2202
",(210)-675-6620 ,https://www.tdcj.texas.gov/unit_directory/bx.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Unit,State,Texas,Diboll,75941,"1502 South First Street
Diboll, TX 75941","1502 South First Street
Diboll, TX 75941",(936)-829-2616 ,https://www.tdcj.texas.gov/unit_directory/n6.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas Treatment Facility,State,Texas,Henderson,75652,"900 Industrial Drive
Henderson, TX 75652","900 Industrial Drive
Henderson, TX 75652",(903)-655-3300,https://www.tdcj.texas.gov/unit_directory/xq.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Dale Wainwright Unit,State,Texas,Lovelady,75851,"2665 Prison Road #1
Lovelady, TX 75851","2665 Prison Road #1
Lovelady, TX 75851",(936)-636-7321 ,https://www.tdcj.texas.gov/unit_directory/ea.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis Unit,State,Texas,Huntsville,77343,"1697 FM 980
Huntsville, TX 77343","1697 FM 980
Huntsville, TX 77343",(936)-295-5756,https://www.tdcj.texas.gov/unit_directory/e.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estelle Unit,State,Texas,Huntsville,77320-3320,"264 FM 3478
Huntsville, TX 77320-3320","264 FM 3478
Huntsville, TX 77320-3320",(936)-291-4200,https://www.tdcj.texas.gov/unit_directory/e2.html,https://www.tdcj.texas.gov/news/TDCJ_Announces_Revised_Book_Policy_to_Enhance_Safety_and_Reduce_Contraband.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
