Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Draper Prison/Utah State Prison,State,Utah ,Draper,84020,"Draper Prison
14425 Bitterbrush Lane
Draper, Utah 84020","Utah State Prison
P.O. Box 250
Draper, UT 84020",801-576-7000,https://corrections.utah.gov/about-us/correctional-facilties/utah-state-correctional-facility/,https://corrections.utah.gov/new-incarcerated-persons-mail-delivery-system-at-utah-department-of-corrections-facilities/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnison Prison,State,Utah ,Gunnison,84634,"Gunnison Prison
255 East 300 North
Gunnison, Utah 84634","CUCF
P.O. Box 550
Gunnison, UT 84634",435-528-6000,https://corrections.utah.gov/about-us/correctional-facilties/central-utah-correctional-facility/,https://corrections.utah.gov/new-incarcerated-persons-mail-delivery-system-at-utah-department-of-corrections-facilities/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaver County Sheriff's Office,County Jail,Utah ,Beaver,84713,"Beaver County Sheriff's Office
2270 South Sheriff Dale E. Nelson Drive
Beaver, UT 84713","Beaver County Sheriff's Office
P.O. Box 391
Beaver, UT 84713",435-438-2862 ,https://www.beaverutahsheriff.com/,https://www.beaverutahsheriff.com/412/Inmate-Mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunnison Prison,State,Utah ,Brigham City,84302,"Gunnison Prison
1 South Main Street
Brigham City, UT 84302","Gunnison Prison
P.O. Box 888
Brigham City, UT 84302-0888",877-390-2326,https://www.boxeldercountyut.gov/251/Corrections,https://www.boxeldercountyut.gov/251/Corrections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cache County Jail,County Jail,Utah ,Logan,84321,"Cache County Jail
1225 West Valley View (200 North)
Logan, UT 84321","Cache County Jail
1225 W. 200 N., Suite 100
Logan, UT 84321",877-390-2326,https://www.cachecounty.gov/sheriffs-office/jail/,https://www.cachecounty.gov/sheriffs-office/jail/mail.html?tab=mail-tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis County Jail ,County Jail,Utah ,Farmington,84025,"Davis County Jail 
800 W State St, 
Farmington, UT 84025","Davis County Jail
P. O. Box 130
Farmington, UT 84025",(801) 451-4100,https://www.daviscountyutah.gov/sheriff/inmate-roster,https://www.daviscountyutah.gov/sheriff/inmate-roster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garfield County Jail,County Jail,Utah ,Panguitch,84759,"Garfield County Jail
375 N 700 W
Panguitch, UT 84759","Garfield County Jail
P.O. Box 370
Panguitch, Utah 84759",(435) 676-2678,https://gcutsheriff.com/,https://gcutsheriff.com/jail/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand County Jail,County Jail,Utah ,Moab,84532,"Grand County Jail
25 S 100 E
Moab, UT 84532","Grand County Jail
125 E. Center St.
Moab, UT 84532",(435) 259-4321,https://www.grandcountyutah.net/240/Sheriff,https://www.grandcountyutah.net/255/Jail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane County Jail,County Jail,Utah ,Kanab,84741,"Kane County Jail
971 E Kaneplex Dr
Kanab, UT 84741","Kane County Jail
P.O. BOX 591
Longview, Texas 75606",(435) 644-4914,https://kane.utah.gov/deptinfo.cfm?ID=25,https://kane.utah.gov/DocumentCenter/View/1187/Inmate-Mail-Instructions-PDF?bidId=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millard County Jail,County Jail,Utah ,Fillmore,84631,"Millard County Jail
765 South UT-99
Fillmore, UT 84631",,(435) 743-5585,https://millardsheriff.gov/,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
