Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Augusta Correctional Center,State,Virginia,Craigsville,24430,"1821 Estaline Valley Road
Craigsville, Virginia 24430","3521 Woods Way
State Farm, Virginia 23160",(540)-997-7000,"Permanently closed",https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baskerville Correctional Center,State,Virginia,Baskerville,23915,"4150 Hayes Mill Road
Baskerville, VA 23915","3521 Woods Way
State Farm, Virginia 23160",(434)-447-3857,https://vadoc.virginia.gov/facilities-and-offices/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bland Correctional Center,State,Virginia,Bland,24315-9615,"256 Bland Farm Road
Bland, VA 24315-9615","3521 Woods Way
State Farm, Virginia 23160",(276)-688-3341,https://vadoc.virginia.gov/facilities-and-offices//,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick Work Center/Brunswick Reception and Classification Center for Women,State,Virginia,Lawrenceville,23868,"Brunswick Work Center/Brunswick Reception and Classification Center for Women
1147 Planters Road
Lawrenceville, VA 23868","3521 Woods Way
State Farm, Virginia 23160",(434)-848-4131,prisonpro.com/content/brunswick-work-center,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckingham Correctional Center,State,Virginia,Dillwyn,23936,"Buckingham Correctional Center
1349 Correctional Center Road
Dillwyn, VA 23936","​3521 Woods Way
State Farm, Virginia 23160
",(434)-983-4400,https://vadoc.virginia.gov/facilities-and-offices/,"Operating Procedure 803.2 Publications, Commercially Distributed Photographs, and Media Files",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Correctional Unit #2,State,Virginia,Hanover,23069,"Caroline Correctional Unit #2
31285 Camp Road
Hanover, VA 23069","3521 Woods Way
State Farm, Virginia 23160
",(804)-994-2161,https://vadoc.virginia.gov/facilities-and-offices/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Virginia Correctional Unit,State,Virginia,Chesterfield,23832,"Central Virginia Correctional Unit
6900 Courthouse Road
Chesterfield, VA 23832","3521 Woods Way
State Farm, Virginia 23160
",(804)-796-4277,https://www.prisonpro.com/content/central-virginia-correctional-unit,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffeewood Correctional Center,State,Virginia,Mitchells,22729,"Coffeewood Correctional Center
12352 Coffeewood Drive
Mitchells, VA 22729","3521 Woods Way
State Farm, Virginia 23160",(540)-829-6483,https://vadoc.virginia.gov/facilities-and-offices/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Springs Correctional Unit,State,Virginia,Greenville,24440,"Cold Springs Correctional Unit
221 Spitler Circle
Greenville, VA 24440","3521 Woods Way
State Farm, Virginia 23160",(540)-337-1818,https://vadoc.virginia.gov/facilities-and-offices/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Meadow Correctional Center,State,Virginia,State Farm,23160,"3500 Woods Way
State Farm, VA 23160","3521 Woods Way
State Farm, Virginia 23160
",(804)-598-5503,https://vadoc.virginia.gov/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deerfield Correctional Center,State,Virginia,Capron,23829,"21360 Deerfield Drive
Capron, VA 23829","3521 Woods Way
State Farm, Virginia 23160
",(434)-658-4368,https://vadoc.virginia.gov/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillwyn Correctional Center,State,Virginia,Dillwyn,23936,"1522 Prison Road
Dillwyn, VA 23936","3521 Woods Way
State Farm, Virginia 23160
",(434)-983-4200,https://vadoc.virginia.gov/facilities-and-offices/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluvanna Correctional Center for Women,State,Virginia,Troy,22974,"144 Prison Lane
Troy, VA 22974","3521 Woods Way
State Farm, Virginia 23160
",(434)-984-3700,https://vadoc.virginia.gov/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Rock Correctional Center,State,Virginia,Chatham,24531,"475 Green Rock Lane
Chatham, Virginia 24531","​3521 Woods Way
State Farm, Virginia 23160
",(434)-797-2000,https://vadoc.virginia.gov/facilities-and-offices/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax Correctional Unit,State,Virginia,Halifax,24558,"1200 Farm Road
Halifax, VA 24558","3521 Woods Way
State Farm, Virginia 23160
",(434)-572-2683,https://vadoc.virginia.gov/facilities-and-offices/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haynesville Correctional Center,State,Virginia,Haynesville,22472,"421 Barnfield Road
Haynesville, VA 22472","3521 Woods Way
State Farm, Virginia 23160
",(804)-333-3577,https://vadoc.virginia.gov/facilities-and-offices/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Creek Correctional Center,State,Virginia,Chesapeake,23328,"801 Sanderson Road
Chesapeake, VA 23328","​3521 Woods Way
State Farm, Virginia 23160
",(757)-421-0095,https://vadoc.virginia.gov/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James River Work Center,State,Virginia,State Farm,23160,"1954 State Farm Road
State Farm, VA 23160","3521 Woods Way
State Farm, Virginia 23160
",(804)-556-7060,https://vadoc.virginia.gov/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keen Mountain Correctional Center,State,Virginia,Oakwood,24631,"State Route 629
Oakwood, VA 24631","3521 Woods Way
State Farm, Virginia 23160
",(276)-498-7411,https://vadoc.virginia.gov/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrenceville Correctional Center Virginia,State,Virginia,Lawrenceville,23868,"1607 Planters Road
Lawrenceville, VA 23868","3521 Woods Way
State Farm, Virginia 23160
",(434)-848-9349,https://vadoc.virginia.gov/news-press-releases/2024/vadoc-assumes-operations-at-lawrenceville-correctional-center/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunenburg Correctional Center,State,Virginia,Victoria,23974,"690 Falls Road
Victoria, VA 23974","3521 Woods Way
State Farm, Virginia 23160
",(434)-696-2045,https://vadoc.virginia.gov/facilities-and-offices/,https://vadoc.virginia.gov/files/operating-procedures/800/vadoc-op-803-2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
