Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Airway Heights Corrections Center,State,Washington,Airway Heights,99001,"11919 W. Sprague Avenue
Airway Heights, WA 99001","P.O. Box 1899
Airway Heights, WA 99001-1899",(509)-244-6700,https://doc.wa.gov/about-doc/locations/prison-facilities/airway-heights-corrections-center-ahcc,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Creek Corrections Center,State,Washington,Littlerock,98556,"12200 Bordeaux Road
Littlerock, WA 98556
","P.O. Box 37
Littlerock, WA 98556-0037",(360)-359-4100,https://doc.wa.gov/about-doc/locations/prison-facilities/cedar-creek-corrections-center-cccc,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clallam Bay Corrections Center,State,Washington,Clallam Bay,98326,"1830 Eagle Crest Way
Clallam Bay, WA 98326","1830 Eagle Crest Way
Clallam Bay, WA 98326",(360)-963-2000,https://doc.wa.gov/about-doc/locations/prison-facilities/clallam-bay-corrections-center-cbcc,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coyote Ridge Corrections Center,State,Washington,Connell,99326,"1301 N Ephrata Ave
Connell, WA 99326","P.O. Box 769
Connell, WA 99326",(509)-543-5800,https://doc.wa.gov/about-doc/locations/prison-facilities/coyote-ridge-corrections-center-crcc,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larch Corrections Center,State,Washington,Yacolt,98675-9531,"Larch Corrections Center
15314 NE Dole Valley Road
Yacolt, WA 98675-9531","​Larch Corrections Center
15314 NE Dole Valley Road
Yacolt, WA 98675-9531",(360)-260-6300,"Permanently closed
","Permanently closed
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission Creek Corrections Center for Women,State,Washington,Belfair,98528,"3420 NE Sand Hill Road
Belfair, WA 98528","3420 NE Sand Hill Road
Belfair, WA 98528",(360)-277-2400,https://doc.wa.gov/,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe Correctional Complex,State,Washington,Monroe,98272,"16550 177th Avenue SE
Monroe, WA 98272","P.O. Box 777
Monroe, WA 98272",(360)-794-2600,https://doc.wa.gov/about-doc/locations/prison-facilities/monroe-correctional-complex-mcc,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympic Corrections Center,State,Washington,Forks,98331,"11235 Hoh Mainline
Forks, WA 98331","11235 Hoh Mainline
Forks, WA 98331",(360)-374-6181,https://doc.wa.gov/about-doc/locations/prison-facilities/olympic-corrections-center-occ,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stafford Creek Corrections Center,State,Washington,Aberdeen,98520,"191 Constantine Way
Aberdeen, WA 98520","191 Constantine Way
Aberdeen, WA 98520",(360)-537-1800,https://doc.wa.gov/about-doc/locations/prison-facilities/stafford-creek-corrections-center-sccc,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Corrections Center,State,Washington,Shelton,98584,"2321 West Dayton Airport Road
Shelton, WA 98584","P.O. Box 900
Shelton, WA 98584",(360)-426-4433,https://doc.wa.gov/about-doc/locations/prison-facilities/washington-corrections-center-wcc,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Corrections Center for Women,State,Washington,Gig Harbor,98332-8300,"9601 Bujacich Rd. NW
Gig Harbor, WA 98332-8300","9601 Bujacich Rd. NW
Gig Harbor, WA 98332-8300",(253)-858-4200,https://doc.wa.gov/about-doc/locations/prison-facilities/washington-corrections-center-women-wccw,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington State Penitentiary,State,Washington,Walla Walla,99362,"1313 North 13th Avenue
Walla Walla, WA 99362","1313 North 13th Avenue
Walla Walla, WA 99362",(509)-525-3610,https://doc.wa.gov/about-doc/locations/prison-facilities/washington-state-penitentiary-wsp,https://doc.wa.gov/family-support/send-something/send-publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
