Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Anthony Correctional Center,,West Virginia,White Sulphur Springs,24986,"HC 70
White Sulphur Springs, WV 24986","Box N-1
White Sulphur Springs, WV 24986",(304)-536-3911,https://dcr.wv.gov/facilities/Pages/community-corrections/acc.aspx,https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckley Correctional Center,,West Virginia,Beckley,25801,"111 S. Eisenhower Drive
Beckley, WV 25801","111 S. Eisenhower Drive
Beckley, WV 25801",(304)-256-6780,https://dcr.wv.gov/facilities/Pages/community-corrections/bccj.aspx,https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Correctional Center,,West Virginia,Charleston,25301,"1356 Hansford St.
Charleston, WV 25301","1356 Hansford St.
Charleston, WV 25301",(304)-340-6921,https://dcr.wv.gov/facilities/Pages/community-corrections/cccj.aspx,https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmar Correctional Center,,West Virginia,Hillsboro,24946,"4319 Denmar Road
Hillsboro, WV 24946","4319 Denmar Road
Hillsboro, WV 24946",(304)-653-4201,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/dccj.aspx,https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington Work Release Center,,West Virginia,Huntington,25701,"1236 Fifth Avenue
Huntington, West Virginia 25701","1236 Fifth Avenue
Huntington, West Virginia 25701",(304)-529-6885,"Temporarily closed
",https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huttonsville Correctional Center,,West Virginia,Huttonsville,26273,"U.S. 250
Huttonsville, WV 26273","P.O. Box 1
Huttonsville, WV 26273",(304)-335-2291,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/hccj.aspx,https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakin Correctional Center,,West Virginia,West Columbia,25287,"11264 Ohio River Road
West Columbia, WV 25287","11264 Ohio River Road
West Columbia, WV 25287",(304)-674-2440,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/lccj.aspx,https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinsburg Correctional Center,,West Virginia,Martinsburg,25401,"38 Grapevine Road
Martinsburg, West Virginia 25401","38 Grapevine Road
Martinsburg, West Virginia 25401",(304)-267-0156,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/mccj.aspx,https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Olive Correctional Complex,,West Virginia,Mt. Olive,25185,"1 Mountainside Way
Mt. Olive, West Virginia 25185","1 Mountainside Way
Mt. Olive, West Virginia 25185",(304)-442-7213,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/moccj.aspx,https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Correctional Facility West Virginia,,West Virginia,Moundsville,26041,"112 Northern Regional Correctional Drive
Moundsville, WV 26041","112 Northern Regional Correctional Drive
Moundsville, WV 26041",(304)-843-4067,https://dcr.wv.gov/facilities/Pages/prisons-and-jails/Northern-Correctional-Facility.aspx,https://dcr.wv.gov/aboutus/SiteAssets/Pages/Policies/WVDCR%20PD%20503.00%20Mail%20Privileges%20for%20Inmates.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
