Facility Name,Facility Type,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Chippewa Valley Correctional Treatment Facility,State,Wisconsin,Chippewa Falls,54729,"2909 E. Park Ave.
Chippewa Falls, WI 54729","2909 E. Park Ave.
Chippewa Falls, WI 54729",(715)-720-2850,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/ChippewaValleyCorrectionalTreatmentFacility.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Correctional Institution,State,Wisconsin,Portage,53901,"2925 Columbia Drive
Portage, WI 53901","2925 Columbia Drive
P.O. Box 900
Portage, WI 53901
",(608)-742-9100,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/ColumbiaCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodge Correctional Institution,State,Wisconsin,Waupun,53963,"1 W. Lincoln St.
Waupun, WI 53963","P.O. Box 700
Waupun, WI 53963-0700
",(920)-324-5577,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/DodgeCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Lake Correctional Institution,State,Wisconsin,Fox Lake,53933,"W10237 Lake Emily Road
Fox Lake, WI 53933","P.O. Box 200
Fox Lake, WI 53933-0200",(920)-928-3151,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/FoxLakeCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bay Correctional Institution,State,Wisconsin,Green Bay,54307,"2833 Riverside Drive
Green Bay, WI 54307","​2833 Riverside Dr
Green Bay WI 54301",(920)-432-4877,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/GreenBayCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Correctional Institution Wisconsin,State,Wisconsin,Black River Falls,54615,"N6500 Haipek Road
Black River Falls, WI 54615","N6500 Haipek Road
Black River Falls, WI 54615",(715)-284-4550,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/JacksonCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kettle Moraine Correctional Institution,State,Wisconsin,Plymouth,53073,"W9071 Forest Drive
Plymouth, WI 53073","W9071 Forest Drive
Glenbeulah, WI 53023",(920)-526-3244,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/KettleMoraineCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Secure Detention Facility,State,Wisconsin,Milwaukee,53233,"1015 N. 10th Street
Milwaukee, WI 53233","​1015 North 10th
Milwaukee, WI 53205",(414)-212-3535,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MilwaukeeSecureDetentionFacility.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Lisbon Correctional Institution,State,Wisconsin,New Lisbon,53950,"2000 Progress Road
New Lisbon, WI 53950","​2000 Progress Rd
New Lisbon, WI 53950",(608)-562-6400,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/NewLisbonCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakhill Correctional Institution,State,Wisconsin,Oregon,53575,"5212 County Hwy. M
Oregon, WI 53575","5212 County Road M
Oregon, WI 53575",(608)-835-3101,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/OakhillCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oshkosh Correctional Institution,State,Wisconsin,Oshkosh,54903,"1730 W. Snell Road
Oshkosh, WI 54903","1730 West Snell Road
Oshkosh, WI 54901",(920)-231-4010,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/OshkoshCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praire du Chien Correctional Institution,State,Wisconsin,Prairie du Chien,53821,"500 E. Parrish St.
Prairie du Chien, WI 53821","500 East Parrish St.
Prairie du Chien, WI 53821",(608)-326-7828,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/PrairieduChienCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racine Correctional Institution,State,Wisconsin,Sturtevant,53177,"2019 Wisconsin St.
Sturtevant, WI 53177","2019 Wisconsin Street
Sturtevant, WI 53177-1829",(262)-886-3214,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/RacineCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racine Youthful Offender Correctional Facility,State,Wisconsin,Racine,53404,"1501 Albert St.
Racine, WI 53404","1500 Hamilton Street
Racine, WI 53404",(262)-638-1999,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/RacineYouthfulOffenderCorrectionalFacility.aspxx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redgranite Correctional Institution,State,Wisconsin,Redgranite,54970,"1006 County Road EE
Redgranite, WI 54970","1006 County Road EE
Redgranite, WI 54970",(920)-566-2600,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/RedgraniteCorrectionalInstitution.aspx,https://doc.wi.gov/Pages/OffenderInformation/AdultInstitutions/MoneyMailProperty.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
