Column 1,Facility Type,Inmate Sex,State,City,ZIP Code,Physical Address,Inmate Mailing Address,Newspaper Delivery Address,Facility Phone Number,Website URL,Facility Mail Policy Link,Inmate Search Link,Contact Via Email,Facility Contact Name / Phone,Security Level,Population Size,Vendor Required,Approved Vendors,Vendor Approval Status,Books Allowed,Paperback Allowed,Hardcover Allowed,Single Magazine Allowed,Magazines Allowed,Newspapers Allowed,MailCall Newspapers Allowed,Tattoo Books Allowed,Urban Content Allowed,Restrictions,Sexually Explicit Content Allowed,Adult Magazines Allowed,Other,Must Ship Direct from Publisher,Used Books Allowed,Max Books Per Package / Shipment,Max Size of Publications Restriction,Special Notes on Packaging,Common Rejection Reasons,Strict Facility,Other,Mailroom Contact Name,Mailroom Phone,Mailroom Email,Last Updated Date,Source (Website/Phone/Other),Confidence Level,Internal Notes
Clay County Sheriff's Office,Sheriff Office,Both,Florida,Green Cove Springs,32043,"901 North Orange Ave.
Green Cove Springs, FL 32043","901 North Orange Avenue
Green Cove Springs, FL  32043",,904) 264 -6512,https://www.claysheriff.com/,https://www.claysheriff.com/resources/jail-info/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown County Sheriff Department ,Sheriff Office,Both,Texas,Brownwood,76801,"1050 West Commerce                                                     
Brownwood, TX 76801 ","1050 West Commerce                                                     
Brownwood, TX 76801",, 325-646-5510,https://www.browncountytx.gov/page/brown.Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland County Sheriff's Office,Sheriff Office,Both,Ohio,Hillsboro,45133,"130 Homestead Dr #1
Hillsboro, OH 45133","""130 Homestead Dr #1
Hillsboro, OH 45133""",,937) 393-1421,https://highlandcoso.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County Sheriff's Office,Sheriff Office,Both,Pennsylvania,Carlisle,17013,"1 Courthouse Square
Room 303
Carlisle, PA 17013","1 Courthouse Sq #303, Carlisle, PA 17013",, 717.240.6390,https://www.cumberlandcountypa.gov/97/Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leavenworth County Sheriff's Office,Sheriff Office,Both,Kansas,Leavenworth,66048,"601 S 3rd. St.
Suite 2007
Leavenworth, KS 66048","601 S 3rd. St.
Suite 2007
Leavenworth, KS 66048",,(913)724-1313,https://www.lvsheriff.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central Detention Center / 
San Bernardino County ",County Jail,Both,California,"San Bernardino
",92415,"630 East Rialto Avenue 
San Bernardino, CA 92415
","630 East Rialto Avenue 
San Bernardino, CA 92415
",,"909-386-0969
",https://wp.sbcounty.gov/sheriff/corrections/central-detention-center/,https://wp.sbcounty.gov/sheriff/corrections/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glen Helen Rehabilitation Center / 
San Bernardino County ",County Jail,Both,California,"San Bernardino",92407,"18000 Institution Rd, San
Bernardino, CA 92407
","18000 Institution Rd, 
San Bernardino, CA 92407
",,"(909) 708-8371
",https://wp.sbcounty.gov/sheriff/corrections/glen-helen-rehabilitation-center/,https://wp.sbcounty.gov/sheriff/corrections/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"High Desert Detention Center
/ San Bernardino County 
",County Jail,Both,California,Adelanto,92301,"9438 Commerce Way, 
Adelanto, CA 92301","9438 Commerce Way, 
Adelanto, CA 92301
",,"760) 530-9300
","
https://wp.sbcounty.gov/sheriff/corrections/high-desert-detention-center/
",https://wp.sbcounty.gov/sheriff/corrections/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Valley Detention Center/
San Bernardino County ",,,,,,"9500 Etiwanda Ave, 
Rancho Cucamonga, CA 91739","9500 Etiwanda Ave, 
Rancho Cucamonga, CA 91739
",,"909) 708-8371
",https://wp.sbcounty.gov/sheriff/corrections/west-valley-detention-center/,https://wp.sbcounty.gov/sheriff/corrections/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiteside County Sheriff's Office,Sheriff Office,Both,Illinois ,Morrison,61270,"400 N Cherry St, Morrison, IL 61270","400 N Cherry St, Morrison, IL 61270",,(815) 772-4044,https://www.whitesidecountyil.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilkin County Jail,County Jail,Both,Minnesota ,Breckenridge,56520,"515 Dacotah Ave, Breckenridge, MN 56520"," 515 Dacotah Ave, Breckenridge, MN 56520",,(218) 643-1205,"https://wilkincounty.gov/?SEC=51FC931D-DC23-4AEA-A909-263C9DFA3762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper County Jail,County Jail,Both,South Carolina,Ridgeland,29936,"12008 North Jacob Smart Blvd.
Ridgeland, SC 29936","12008 North Jacob Smart Blvd.
Ridgeland, SC 29936",,843-726-7777,https://www.jaspercountysc.gov/public-safety-offices/sheriffs-office/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huron County Sheriff’s Office,Sheriff Office,Both,Ohio,Norwalk,44857,"255 Shady Lane Drive
Norwalk, Ohio 44857","255 Shady Lane Drive
Norwalk, Ohio 44857",, (419) 668-6912,https://huroncountysheriff.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair County Jail,County Jail,Both,Kentucky,Columbia,42728," 204 Greensburg St, Columbia, KY 42728"," 204 Greensburg St, Columbia, KY 42728",,(270) 384-5701,http://www.adaircountyregionaljail.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harris County Sheriff's Office,Sheriff Office,Both,Texas,Houston,77002,"1200 Baker St, Houston, TX 77002","1200 Baker St, Houston, TX 77002",, (713) 755-6044,https://www.harriscountyso.org//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cass County Jail Administration,County Jail,Both,North Dakota,Fargo,58103,"450 34th St SW, Fargo, ND 58103","450 34th St SW, Fargo, ND 58103",, (701) 271-2900,https://www.casscountynd.gov/departments/corrections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno County Jail,County Jail,Both,California,Fresno,93721,"1225 M St, Fresno, CA 93721","1225 M St, Fresno, CA 93721",,(559) 600-8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton County Sheriff's Office,Sheriff Office,Both,Georgia ,Atlanta,30303," 185 Central Ave SW, Atlanta, GA 30303","185 Central Ave SW, Atlanta, GA 30303",,(404) 612-5101,https://fcsoga.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
